This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - production(cu m) 	 Date of Information
68 	 Ireland 	       546,700,000 	 2005 est.
69 	 Korea, South 	       498,700,000 	 2005 est.
70 	 Cuba 	       383,600,000 	 2005
71 	 Jordan 	       268,500,000 	 2005 est.
72 	 Ecuador 	       249,400,000 	 2005 est.
73 	 Mozambique 	       191,800,000 	 2005 est.
74 	 Belarus 	       165,000,000 	 2005 est.
75 	 Czech Republic 	       165,000,000 	 2005 est.
76 	 Spain 	       151,500,000 	 2005 est.
77 	 Slovakia 	       141,900,000 	 2005 est.
78 	 Congo, Republic of the 	       115,100,000 	 2005 est.
79 	 Gabon 	        95,910,000 	 2005 est.
80 	 Papua New Guinea 	        95,910,000 	 2005 est.
81 	 Morocco 	        47,950,000 	 2005 est.
82 	 Senegal 	        47,950,000 	 2005 est.
83 	 Tajikistan 	        39,320,000 	 2005 est.
84 	 Albania 	        28,770,000 	 2005 est.
85 	 Kyrgyzstan 	        28,770,000 	 2005 est.
86 	 Barbados 	        27,970,000 	 2005 est.
87 	 Afghanistan 	        19,180,000 	 2005 est.
88 	 Greece 	        15,350,000 	 2005 est.
89 	 Georgia 	        14,390,000 	 2005 est.
90 	 Slovenia 	         4,795,000 	 2005 est.
91 	 Bulgaria 	          407,000 	 2005 est.
92 	 Aruba 	               0 	 2005 est.
93 	 Botswana 	               0 	 2005 est.
94 	 Belgium 	               0 	 2005 est.
95 	 Belize 	               0 	 2005 est.
96 	 Benin 	               0 	 2005 est.
97 	 Bhutan 	               0 	 2005 est.
98 	 Madagascar 	               0 	 2005 est.
99 	 Luxembourg 	               0 	 2005 est.
100 	 Lesotho 	               0 	 2005 est.
101 	 Liberia 	               0 	 2005 est.
102 	 Lithuania 	               0 	 2005
103 	 Latvia 	               0 	 2005 est.
104 	 Lebanon 	               0 	 2005 est.
105 	 Laos 	               0 	 2005 est.
106 	 Guyana 	               0 	 2005 est.
107 	 Zimbabwe 	               0 	 2005 est.
108 	 Zambia 	               0 	 2005 est.
109 	 Yemen 	               0 	 2005 est.
110 	 Swaziland 	               0 	 2005 est.
111 	 Samoa 	               0 	 2005 est.
112 	 Western Sahara 	               0 	 2005 est.
113 	 Namibia 	               0 	 2005 est.
114 	 Virgin Islands 	               0 	 2005 est.
115 	 British Virgin Islands 	               0 	 2005 est.
116 	 Saint Vincent and the Grenadines 	               0 	 2005 est.
117 	 Uruguay 	               0 	 2005 est.
118 	 Burkina Faso 	               0 	 2005 est.
119 	 Uganda 	               0 	 2005 est.
120 	 Tanzania 	               0 	 2005 est.
121 	 Sao Tome and Principe 	               0 	 2005 est.
122 	 Togo 	               0 	 2005 est.
123 	 Tonga 	               0 	 2005 est.
124 	 Turks and Caicos Islands 	               0 	 2005 est.
125 	 Switzerland 	               0 	 2005 est.
126 	 Sweden 	               0 	 2005 est.
127 	 Sudan 	               0 	 2005 est.
128 	 Saint Lucia 	               0 	 2005 est.
129 	 Somalia 	               0 	 2005 est.
130 	 Singapore 	               0 	 2005 est.
131 	 Sierra Leone 	               0 	 2005 est.
132 	 Saint Helena 	               0 	 2005 est.
133 	 Seychelles 	               0 	 2005 est.
134 	 Saint Kitts and Nevis 	               0 	 2005 est.
135 	 Saint Pierre and Miquelon 	               0 	 2005 est.
136 	 Rwanda 	               0 	 2005 est.
137 	 Puerto Rico 	               0 	 2005 est.
138 	 Guinea-Bissau 	               0 	 2005 est.
139 	 Portugal 	               0 	 2005 est.
140 	 Panama 	               0 	 2005 est.
141 	 Nauru 	               0 	 2005 est.
142 	 Nepal 	               0 	 2005 est.
143 	 Vanuatu 	               0 	 2005 est.
144 	 Niger 	               0 	 2005 est.
145 	 Niue 	               0 	 2005 est.
146 	 New Caledonia 	               0 	 2005 est.
147 	 Maldives 	               0 	 2005 est.
148 	 Malta 	               0 	 2005 est.
149 	 Mauritania 	               0 	 2005 est.
150 	 Paraguay 	               0 	 2005 est.
151 	 Nicaragua 	               0 	 2005 est.
152 	 Netherlands Antilles 	               0 	 2005 est.
153 	 Suriname 	               0 	 2005 est.
154 	 Mauritius 	               0 	 2005 est.
155 	 Mali 	               0 	 2005 est.
156 	 Macedonia 	               0 	 2005 est.
157 	 Malawi 	               0 	 2005 est.
158 	 Montserrat 	               0 	 2005 est.
159 	 Mongolia 	               0 	 2005 est.
160 	 Moldova 	               0 	 2005 est.
161 	 Macau 	               0 	 2005 est.
162 	 Guinea 	               0 	 2005 est.
163 	 Guatemala 	               0 	 2005 est.
164 	 Guam 	               0 	 2005 est.
165 	 Greenland 	               0 	 2005 est.
166 	 Grenada 	               0 	 2005 est.
167 	 Gibraltar 	               0 	 2005 est.
168 	 Ghana 	               0 	 2005 est.
169 	 Gambia, The 	               0 	 2005 est.
170 	 Kiribati 	               0 	 2005 est.
171 	 Korea, North 	               0 	 2005 est.
172 	 Kenya 	               0 	 2005 est.
173 	 Jamaica 	               0 	 2005 est.
174 	 Iceland 	               0 	 2005 est.
175 	 Honduras 	               0 	 2005 est.
176 	 Hong Kong 	               0 	 2005 est.
177 	 Haiti 	               0 	 2005 est.
178 	 French Polynesia 	               0 	 2005 est.
179 	 Faroe Islands 	               0 	 2005 est.
180 	 Falkland Islands (Islas Malvinas) 	               0 	 2005 est.
181 	 Fiji 	               0 	 2005 est.
182 	 Finland 	               0 	 2005 est.
183 	 Ethiopia 	               0 	 2005 est.
184 	 El Salvador 	               0 	 2005 est.
185 	 Eritrea 	               0 	 2005 est.
186 	 Estonia 	               0 	 2005 est.
187 	 Dominican Republic 	               0 	 2005 est.
188 	 Dominica 	               0 	 2005 est.
189 	 Djibouti 	               0 	 2005 est.
190 	 Cook Islands 	               0 	 2005 est.
191 	 Cape Verde 	               0 	 2005 est.
192 	 Central African Republic 	               0 	 2005 est.
193 	 Costa Rica 	               0 	 2005 est.
194 	 Comoros 	               0 	 2005 est.
195 	 Cameroon 	               0 	 2005 est.
196 	 Cayman Islands 	               0 	 2005 est.
197 	 Congo, Democratic Republic of the 	               0 	 2005 est.
198 	 Sri Lanka 	               0 	 2005 est.
199 	 Chad 	               0 	 2005 est.
200 	 Cambodia 	               0 	 2005 est.
201 	 Burundi 	               0 	 2005 est.
202 	 Solomon Islands 	               0 	 2005 est.
203 	 Bosnia and Herzegovina 	               0 	 2005 est.
204 	 Bahamas, The 	               0 	 2005 est.
205 	 Bermuda 	               0 	 2005 est.
206 	 Armenia 	               0 	 2005 est.
207 	 American Samoa 	               0 	 2005 est.
208 	 Antigua and Barbuda 	               0 	 2005 est.

 This file was last updated on 13 December, 2007
