This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
177 	 Grenada 	           33,500 	 2002
178 	 Belize 	           33,300 	 2003
179 	 Afghanistan 	           33,100 	 2002
180 	 Mauritania 	           31,500 	 2002
181 	 Maldives 	           28,700 	 2002
182 	 Lesotho 	           28,600 	 2002
183 	 Saint Vincent and the Grenadines 	           27,300 	 2002
184 	 Guinea 	           26,200 	 2003
185 	 Greenland 	           26,000 	 2001
186 	 Bhutan 	           25,200 	 2003
187 	 Gibraltar 	           24,512 	 2002
188 	 Sierra Leone 	           24,000 	 2002
189 	 Burundi 	           23,900 	 2003
190 	 Dominica 	           23,700 	 2002
191 	 Saint Kitts and Nevis 	           23,500 	 2002
192 	 Rwanda 	           23,200 	 2002
193 	 Faroe Islands 	           23,000 	 2002
194 	 Niger 	           22,400 	 2002
195 	 Seychelles 	           21,700 	 2002
196 	 Northern Mariana Islands 	           21,000 	 2000
197 	 San Marino 	           20,600 	 2002
198 	 Liechtenstein 	           19,900 	 2002
199 	 American Samoa 	           15,000 	 2001
200 	 Comoros 	           13,200 	 2003
201 	 Chad 	           11,800 	 2002
202 	 Samoa 	           11,800 	 2002
203 	 British Virgin Islands 	           11,700 	 2002
204 	 Tonga 	           11,200 	 2002
205 	 Guinea-Bissau 	           10,600 	 2003
206 	 Micronesia, Federated States of 	           10,100 	 2001
207 	 Congo, Democratic Republic of the 	           10,000 	 2002
208 	 Mayotte 	           10,000 	 2001
209 	 Equatorial Guinea 	            9,600 	 2003
210 	 Djibouti 	            9,500 	 2003
211 	 Central African Republic 	            9,000 	 2002
212 	 Congo, Republic of the 	            7,000 	 2003
213 	 Sao Tome and Principe 	            7,000 	 2003
214 	 Liberia 	            7,000 	 2001
215 	 Palau 	            6,700 	 2002
216 	 Solomon Islands 	            6,600 	 2002
217 	 Vanuatu 	            6,500 	 2003
218 	 Anguilla 	            6,200 	 2002
219 	 Cook Islands 	            6,200 	 2002
220 	 Turks and Caicos Islands 	            5,700 	 2002
221 	 Saint Pierre and Miquelon 	            4,800 	 2002
222 	 Kiribati 	            4,500 	 2002
223 	 Marshall Islands 	            4,500 	 2003
224 	 Norfolk Island 	            2,532 	 2004
225 	 Falkland Islands (Islas Malvinas) 	            2,400 	 2002
226 	 Saint Helena 	            2,200 	 2002
227 	 Nauru 	            1,900 	 2002
228 	 Wallis and Futuna 	            1,900 	 2002
229 	 Niue 	            1,100 	 2002
230 	 Tuvalu 	             700 	 2002
231 	 Tokelau 	             300 	 2002
232 	 Cocos (Keeling) Islands 	             287 	 1992
233 	 Pitcairn Islands 	               1 	 2004
234 	 Antarctica 	               0 	 2001

 This file was last updated on 10 January, 2006
