This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
153 	 Congo, Democratic Republic of the 	 $       1,319,000,000 	 2004 est.
154 	 Tajikistan 	 $       1,250,000,000 	 2005 est.
155 	 Fiji 	 $       1,235,000,000 	 2004 est.
156 	 Lesotho 	 $       1,166,000,000 	 2005 est.
157 	 Mauritania 	 $       1,124,000,000 	 2004 est.
158 	 Andorra 	 $       1,077,000,000 	 1998
159 	 Togo 	 $       1,047,000,000 	 2005 est.
160 	 Benin 	 $       1,043,000,000 	 2005 est.
161 	 Mongolia 	 $       1,011,000,000 	 2004 est.
162 	 Burkina Faso 	 $        992,000,000 	 2005 est.
163 	 Djibouti 	 $        987,000,000 	 2004 est.
164 	 Kyrgyzstan 	 $        937,400,000 	 2005 est.
165 	 Liechtenstein 	 $        917,300,000 	 1996
166 	 Aruba 	 $        875,000,000 	 2004 est.
167 	 Congo, Republic of the 	 $        806,500,000 	 2005 est.
168 	 Suriname 	 $        750,000,000 	 2004 est.
169 	 Chad 	 $        749,100,000 	 2005 est.
170 	 Antigua and Barbuda 	 $        735,000,000 	 2004 est.
171 	 Guam 	 $        701,000,000 	 2004 est.
172 	 Guyana 	 $        681,600,000 	 2005 est.
173 	 Guinea 	 $        680,000,000 	 2005 est.
174 	 Eritrea 	 $        676,500,000 	 2005 est.
175 	 Malawi 	 $        645,000,000 	 2005 est.
176 	 Maldives 	 $        645,000,000 	 2004 est.
177 	 Faroe Islands 	 $        639,000,000 	 2004 est.
178 	 French Guiana 	 $        625,000,000 	 2002 est.
179 	 Belize 	 $        622,400,000 	 2005 est.
180 	 Greenland 	 $        601,000,000 	 2004 est.
181 	 Niger 	 $        588,000,000 	 2004 est.
182 	 Somalia 	 $        576,000,000 	 2004 est.
183 	 Laos 	 $        541,000,000 	 2005 est.
184 	 Sierra Leone 	 $        531,000,000 	 2004 est.
185 	 Cape Verde 	 $        500,000,000 	 2005 est.
186 	 Seychelles 	 $        459,900,000 	 2005 est.
187 	 Cayman Islands 	 $        457,400,000 	 1999
188 	 Cyprus 	 $        415,200,000 	 2005 est.
189 	 Saint Lucia 	 $        410,000,000 	 2004 est.
190 	 Saint Kitts and Nevis 	 $        405,000,000 	 2004 est.
191 	 Samoa 	 $        285,000,000 	 2004 est.
192 	 Grenada 	 $        276,000,000 	 2004 est.
193 	 Rwanda 	 $        243,000,000 	 2005 est.
194 	 Dominica 	 $        234,000,000 	 2004 est.
195 	 Vanuatu 	 $        233,000,000 	 2004 est.
196 	 Saint Vincent and the Grenadines 	 $        225,000,000 	 2004 est.
197 	 Central African Republic 	 $        203,000,000 	 2004 est.
198 	 East Timor 	 $        202,000,000 	 2004 est.
199 	 Burundi 	 $        200,000,000 	 2005 est.
200 	 Gambia, The 	 $        197,000,000 	 2005 est.
201 	 Bhutan 	 $        196,000,000 	 2000 est.
202 	 British Virgin Islands 	 $        187,000,000 	 2002 est.
203 	 Guinea-Bissau 	 $        176,000,000 	 2004 est.
204 	 Turks and Caicos Islands 	 $        175,600,000 	 2000
205 	 Solomon Islands 	 $        159,000,000 	 2004 est.
206 	 Micronesia, Federated States of 	 $        149,000,000 	 FY99/00 est.
207 	 Mayotte 	 $        141,300,000 	 1997
208 	 Tonga 	 $        122,000,000 	 2004 est.
209 	 Comoros 	 $        115,000,000 	 2004 est.
210 	 American Samoa 	 $        105,000,000 	 2004 est.
211 	 Palau 	 $         99,000,000 	 2001 est.
212 	 Falkland Islands (Islas Malvinas) 	 $         90,000,000 	 2004 est.
213 	 Anguilla 	 $         80,900,000 	 1999
214 	 Saint Pierre and Miquelon 	 $         70,000,000 	 2004 est.
215 	 Kiribati 	 $         62,000,000 	 2004 est.
216 	 Marshall Islands 	 $         54,000,000 	 2000
217 	 Cook Islands 	 $         50,700,000 	 2000
218 	 Saint Helena 	 $         45,000,000 	 2004 est.
219 	 Sao Tome and Principe 	 $         38,000,000 	 2005 est.
220 	 Tuvalu 	 $         31,000,000 	 2004 est.
221 	 Nauru 	 $         20,000,000 	 2004 est.
222 	 Norfolk Island 	 $         17,900,000 	 FY91/92
223 	 Montserrat 	 $         17,000,000 	 2001
224 	 Niue 	 $          2,380,000 	 1999
225 	 Tokelau 	 $           323,000 	 1983
226 	 Wallis and Futuna 	 $           300,000 	 1999

 This file was last updated on 10 January, 2006
