This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Total fertility rate(children born/woman) 	 Date of Information
96 	 Fiji 	      2.75 	 2005 est.
97 	 Morocco 	      2.73 	 2005 est.
98 	 Ecuador 	      2.72 	 2005 est.
99 	 Jordan 	      2.71 	 2005 est.
100 	 Kyrgyzstan 	      2.70 	 2005 est.
101 	 Panama 	      2.70 	 2005 est.
102 	 Bahrain 	      2.63 	 2005 est.
103 	 Guam 	      2.60 	 2005 est.
104 	 World 	      2.60 	 2005 est.
105 	 Colombia 	      2.56 	 2005 est.
106 	 Peru 	      2.56 	 2005 est.
107 	 Jamaica 	      2.47 	 2005 est.
108 	 Reunion 	      2.47 	 2005 est.
109 	 Palau 	      2.46 	 2005 est.
110 	 Mexico 	      2.45 	 2005 est.
111 	 Azerbaijan 	      2.44 	 2005 est.
112 	 Israel 	      2.44 	 2005 est.
113 	 Indonesia 	      2.44 	 2005 est.
114 	 Greenland 	      2.41 	 2005 est.
115 	 Grenada 	      2.37 	 2005 est.
116 	 Suriname 	      2.34 	 2005 est.
117 	 Saint Kitts and Nevis 	      2.33 	 2005 est.
118 	 New Caledonia 	      2.31 	 2005 est.
119 	 Brunei 	      2.30 	 2005 est.
120 	 Costa Rica 	      2.28 	 2005 est.
121 	 Antigua and Barbuda 	      2.26 	 2005 est.
122 	 Mongolia 	      2.26 	 2005 est.
123 	 Venezuela 	      2.26 	 2005 est.
124 	 South Africa 	      2.24 	 2005 est.
125 	 Saint Lucia 	      2.21 	 2005 est.
126 	 Bahamas, The 	      2.20 	 2005 est.
127 	 Faroe Islands 	      2.20 	 2005 est.
128 	 Argentina 	      2.19 	 2005 est.
129 	 Virgin Islands 	      2.19 	 2005 est.
130 	 Korea, North 	      2.15 	 2005 est.
131 	 United States 	      2.08 	 2005 est.
132 	 Guyana 	      2.05 	 2005 est.
133 	 Albania 	      2.04 	 2005 est.
134 	 French Polynesia 	      2.04 	 2005 est.
135 	 Saint Pierre and Miquelon 	      2.03 	 2005 est.
136 	 Chile 	      2.02 	 2005 est.
137 	 Burma 	      2.01 	 2005 est.
138 	 Netherlands Antilles 	      2.00 	 2005 est.
139 	 Dominica 	      1.96 	 2005 est.
140 	 Mauritius 	      1.96 	 2005 est.
141 	 Turkey 	      1.94 	 2005 est.
142 	 Vietnam 	      1.94 	 2005 est.
143 	 Brazil 	      1.93 	 2005 est.
144 	 Algeria 	      1.92 	 2005 est.
145 	 Lebanon 	      1.92 	 2005 est.
146 	 Iceland 	      1.92 	 2005 est.
147 	 Guadeloupe 	      1.91 	 2005 est.
148 	 Uruguay 	      1.91 	 2005 est.
149 	 Cayman Islands 	      1.90 	 2005 est.
150 	 Bermuda 	      1.89 	 2005 est.
151 	 Kazakhstan 	      1.89 	 2005 est.
152 	 Ireland 	      1.87 	 2005 est.
153 	 Sri Lanka 	      1.85 	 2005 est.
154 	 Saint Vincent and the Grenadines 	      1.85 	 2005 est.
155 	 France 	      1.85 	 2005 est.
156 	 Cyprus 	      1.83 	 2005 est.
157 	 Iran 	      1.82 	 2005 est.
158 	 Moldova 	      1.81 	 2005 est.
159 	 Aruba 	      1.79 	 2005 est.
160 	 New Zealand 	      1.79 	 2005 est.
161 	 Luxembourg 	      1.79 	 2005 est.
162 	 Martinique 	      1.79 	 2005 est.
163 	 Montserrat 	      1.78 	 2005 est.
164 	 Norway 	      1.78 	 2005 est.
165 	 Australia 	      1.76 	 2005 est.
166 	 Monaco 	      1.76 	 2005 est.
167 	 Puerto Rico 	      1.75 	 2005 est.
168 	 Seychelles 	      1.75 	 2005 est.
169 	 Tunisia 	      1.75 	 2005 est.
170 	 Trinidad and Tobago 	      1.75 	 2005 est.
171 	 Denmark 	      1.74 	 2005 est.
172 	 Anguilla 	      1.73 	 2005 est.
173 	 Finland 	      1.73 	 2005 est.
174 	 China 	      1.72 	 2005 est.
175 	 British Virgin Islands 	      1.72 	 2005 est.
176 	 Serbia and Montenegro 	      1.67 	 2005 est.
177 	 Cuba 	      1.66 	 2005 est.
178 	 Netherlands 	      1.66 	 2005 est.
179 	 United Kingdom 	      1.66 	 2005 est.
180 	 Sweden 	      1.66 	 2005 est.
181 	 Gibraltar 	      1.65 	 2005 est.
182 	 Isle of Man 	      1.65 	 2005 est.
183 	 Barbados 	      1.64 	 2005 est.
184 	 Belgium 	      1.64 	 2005 est.
185 	 Thailand 	      1.63 	 2005 est.
186 	 Canada 	      1.61 	 2005 est.
187 	 Jersey 	      1.57 	 2005 est.
188 	 Taiwan 	      1.57 	 2005 est.
189 	 Macedonia 	      1.57 	 2005 est.
190 	 Saint Helena 	      1.54 	 2005 est.
191 	 Liechtenstein 	      1.51 	 2005 est.
192 	 Malta 	      1.50 	 2005 est.
193 	 European Union 	      1.47 	 July 2005 est.
194 	 Portugal 	      1.47 	 2005 est.
195 	 Switzerland 	      1.43 	 2005 est.
196 	 Georgia 	      1.41 	 2005 est.
197 	 Belarus 	      1.39 	 2005 est.
198 	 Germany 	      1.39 	 2005 est.
199 	 Croatia 	      1.39 	 2005 est.
200 	 Japan 	      1.39 	 2005 est.
201 	 Estonia 	      1.39 	 2005 est.
202 	 Bulgaria 	      1.38 	 2005 est.
203 	 Guernsey 	      1.38 	 2005 est.
204 	 Austria 	      1.36 	 2005 est.
205 	 Romania 	      1.36 	 2005 est.
206 	 Greece 	      1.33 	 2005 est.
207 	 San Marino 	      1.33 	 2005 est.
208 	 Armenia 	      1.32 	 2005 est.
209 	 Hungary 	      1.32 	 2005 est.
210 	 Slovakia 	      1.32 	 2005 est.
211 	 Andorra 	      1.29 	 2005 est.
212 	 Italy 	      1.28 	 2005 est.
213 	 Spain 	      1.28 	 2005 est.
214 	 Northern Mariana Islands 	      1.27 	 2005 est.
215 	 Russia 	      1.27 	 2005 est.
216 	 Korea, South 	      1.26 	 2005 est.
217 	 Latvia 	      1.26 	 2005 est.
218 	 Poland 	      1.24 	 2005 est.
219 	 Slovenia 	      1.24 	 2005 est.
220 	 Bosnia and Herzegovina 	      1.21 	 2005 est.
221 	 Czech Republic 	      1.20 	 2005 est.
222 	 Lithuania 	      1.19 	 2005 est.
223 	 Ukraine 	      1.16 	 2005 est.
224 	 Singapore 	      1.05 	 2005 est.
225 	 Macau 	      1.00 	 2005 est.
226 	 Hong Kong 	      0.93 	 2005 est.

 This file was last updated on 10 January, 2006
