This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 HIV/AIDS - deaths 	 Date of Information
45 	 Eritrea 	            6,300 	 2003 est.
46 	 Benin 	            5,800 	 2003 est.
47 	 Guatemala 	            5,800 	 2003 est.
48 	 Mexico 	            5,000 	 2003 est.
49 	 Pakistan 	            4,900 	 2003 est.
50 	 Niger 	            4,800 	 2003 est.
51 	 Peru 	            4,200 	 2003 est.
52 	 Honduras 	            4,100 	 2003 est.
53 	 Venezuela 	            4,100 	 2003 est.
54 	 Colombia 	            3,600 	 2003 est.
55 	 Senegal 	            3,500 	 2003 est.
56 	 Nepal 	            3,100 	 2003 est.
57 	 Gabon 	            3,000 	 2003 est.
58 	 Indonesia 	            2,400 	 2003 est.
59 	 El Salvador 	            2,200 	 2003 est.
60 	 Malaysia 	            2,000 	 2003 est.
61 	 Trinidad and Tobago 	            1,900 	 2003 est.
62 	 Ecuador 	            1,700 	 2003 est.
63 	 Argentina 	            1,500 	 2003 est.
64 	 Canada 	            1,500 	 2003 est.
65 	 Chile 	            1,400 	 2003 est.
66 	 Guinea-Bissau 	            1,200 	 2001 est.
67 	 Guyana 	            1,100 	 2003 est.
68 	 Belarus 	            1,000 	 2001 est.
69 	 Spain 	            1,000 	 2003 est.
70 	 Portugal 	            1,000 	 2003 est.
71 	 Italy 	            1,000 	 2003 est.
72 	 Germany 	            1,000 	 2003 est.
73 	 France 	            1,000 	 2003 est.
74 	 Costa Rica 	             900 	 2003 est.
75 	 Jamaica 	             900 	 2003 est.
76 	 Iran 	             800 	 2003 est.
77 	 Egypt 	             700 	 2003 est.
78 	 Djibouti 	             690 	 2003 est.
79 	 Bangladesh 	             650 	 2001 est.
80 	 Gambia, The 	             600 	 2003 est.
81 	 Paraguay 	             600 	 2003 est.
82 	 Papua New Guinea 	             600 	 2003 est.
83 	 Algeria 	             500 	 2003 est.
84 	 Japan 	             500 	 2003 est.
85 	 Latvia 	             500 	 2003 est.
86 	 Philippines 	             500 	 2003 est.
87 	 Uzbekistan 	             500 	 2003 est.
88 	 Uruguay 	             500 	 2003 est.
89 	 United Kingdom 	             500 	 2003 est.
90 	 Suriname 	             500 	 2003 est.
91 	 Jordan 	             500 	 2003 est.
92 	 Bermuda 	             392 	 2005
93 	 Equatorial Guinea 	             370 	 2001 est.
94 	 Romania 	             350 	 2001 est.
95 	 Moldova 	             300 	 2001 est.
96 	 Cape Verde 	             225 	 
97 	 Armenia 	             200 	 2003 est.
98 	 Lithuania 	             200 	 2003 est.
99 	 Lebanon 	             200 	 2003 est.
100 	 Laos 	             200 	 2003 est.
101 	 Kazakhstan 	             200 	 2003 est.
102 	 Korea, South 	             200 	 2003 est.
103 	 Kyrgyzstan 	             200 	 2003 est.
104 	 Hong Kong 	             200 	 2003 est.
105 	 Georgia 	             200 	 2003 est.
106 	 Fiji 	             200 	 2003 est.
107 	 Tunisia 	             200 	 2003 est.
108 	 Syria 	             200 	 2003 est.
109 	 Singapore 	             200 	 2003 est.
110 	 New Zealand 	             200 	 2003 est.
111 	 Oman 	             200 	 2003 est.
112 	 Mongolia 	             200 	 2003 est.
113 	 Estonia 	             200 	 2003 est.
114 	 Cuba 	             200 	 2003 est.
115 	 Sri Lanka 	             200 	 2003 est.
116 	 Brunei 	             200 	 2003 est.
117 	 Bahamas, The 	             200 	 2003 est.
118 	 Barbados 	             200 	 2003 est.
119 	 Bahrain 	             200 	 2003 est.
120 	 Azerbaijan 	             100 	 2001 est.
121 	 Turkmenistan 	             100 	 2004 est.
122 	 Tajikistan 	             100 	 2001 est.
123 	 Switzerland 	             100 	 2003 est.
124 	 Sweden 	             100 	 2003 est.
125 	 Slovenia 	             100 	 2003 est.
126 	 Poland 	             100 	 2001 est.
127 	 Norway 	             100 	 2003 est.
128 	 Netherlands 	             100 	 2003 est.
129 	 Malta 	             100 	 2003 est.
130 	 Mauritius 	             100 	 2001 est.
131 	 Macedonia 	             100 	 2003 est.
132 	 Luxembourg 	             100 	 2003 est.
133 	 Slovakia 	             100 	 2001 est.
134 	 Israel 	             100 	 2001 est.
135 	 Iceland 	             100 	 2003 est.
136 	 Hungary 	             100 	 2001 est.
137 	 Greece 	             100 	 2003 est.
138 	 Finland 	             100 	 2003 est.
139 	 Bulgaria 	             100 	 2001 est.
140 	 Bosnia and Herzegovina 	             100 	 2001 est.
141 	 Denmark 	             100 	 2003 est.
142 	 Ireland 	             100 	 2003 est.
143 	 Belgium 	             100 	 2003 est.
144 	 Austria 	             100 	 2003 est.
145 	 Czech Republic 	              10 	 2001 est.
146 	 Croatia 	              10 	 2001 est.
147 	 Svalbard 	               0 	 2001

 This file was last updated on 13 December, 2007
