This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
137 	 New Caledonia 	      1,403,000,000 	 2005
138 	 Swaziland 	      1,300,000,000 	 2005
139 	 Malawi 	      1,299,000,000 	 2005
140 	 Gabon 	      1,241,000,000 	 2005
141 	 Tanzania 	      1,199,000,000 	 2005
142 	 Laos 	      1,193,000,000 	 2005
143 	 Madagascar 	       973,200,000 	 2005
144 	 Fiji 	       972,800,000 	 2005
145 	 Virgin Islands 	       926,400,000 	 2005
146 	 Netherlands Antilles 	       891,000,000 	 2005
147 	 Barbados 	       886,300,000 	 2005
148 	 Guinea 	       832,900,000 	 2006
149 	 Afghanistan 	       801,400,000 	 2005
150 	 Cyprus 	       797,900,000 	 2005
151 	 Guyana 	       750,700,000 	 2005
152 	 Aruba 	       716,100,000 	 2005
153 	 Jersey 	       630,100,000 	 2004 est.
154 	 Benin 	       587,000,000 	 2005
155 	 Togo 	       576,000,000 	 2005
156 	 Bermuda 	       574,800,000 	 2005
157 	 Congo, Democratic Republic of the 	       572,000,000 	 2005
158 	 Burkina Faso 	       480,100,000 	 2005
159 	 Niger 	       437,700,000 	 2005
160 	 French Polynesia 	       429,700,000 	 2005
161 	 Mali 	       412,900,000 	 2005
162 	 Bhutan 	       380,000,000 	 2005
163 	 Cayman Islands 	       372,000,000 	 2005
164 	 Lesotho 	       338,500,000 	 2005
165 	 Haiti 	       322,000,000 	 2005
166 	 Liberia 	       296,900,000 	 2005
167 	 Saint Lucia 	       282,900,000 	 2005
168 	 Greenland 	       279,000,000 	 2005
169 	 Faroe Islands 	       269,700,000 	 2005
170 	 Somalia 	       251,100,000 	 2005
171 	 Mauritania 	       230,600,000 	 2005
172 	 Eritrea 	       228,000,000 	 2005
173 	 Sierra Leone 	       227,900,000 	 2005
174 	 Cambodia 	       206,600,000 	 2005
175 	 Rwanda 	       198,400,000 	 2005
176 	 Seychelles 	       193,400,000 	 2005
177 	 Djibouti 	       186,000,000 	 2005
178 	 Micronesia, Federated States of 	       178,600,000 	 2002
179 	 American Samoa 	       167,400,000 	 2005
180 	 Belize 	       162,800,000 	 2005
181 	 Burundi 	       161,400,000 	 2005
182 	 Maldives 	       157,100,000 	 2005
183 	 Gibraltar 	       141,000,000 	 2005
184 	 Grenada 	       139,500,000 	 2005
185 	 Mayotte 	       139,200,000 	 2005
186 	 Gambia, The 	       134,900,000 	 2005
187 	 Saint Kitts and Nevis 	       116,300,000 	 2005
188 	 Saint Vincent and the Grenadines 	       107,000,000 	 2005
189 	 Central African Republic 	       101,400,000 	 2005
190 	 Antigua and Barbuda 	        97,650,000 	 2005
191 	 Samoa 	        97,650,000 	 2005
192 	 Chad 	        88,350,000 	 2005
193 	 Western Sahara 	        79,050,000 	 2005
194 	 Dominica 	        74,400,000 	 2005
195 	 Solomon Islands 	        55,800,000 	 2005
196 	 Guinea-Bissau 	        55,800,000 	 2005
197 	 Saint Pierre and Miquelon 	        46,500,000 	 2005
198 	 Cape Verde 	        41,850,000 	 2005
199 	 British Virgin Islands 	        41,850,000 	 2005
200 	 Vanuatu 	        38,130,000 	 2005
201 	 Tonga 	        32,550,000 	 2005
202 	 Cook Islands 	        27,900,000 	 2005 est.
203 	 Nauru 	        27,900,000 	 2005
204 	 Equatorial Guinea 	        26,040,000 	 2005
205 	 Comoros 	        18,600,000 	 2005
206 	 Montenegro 	        18,600,000 	 2005
207 	 Montserrat 	        18,600,000 	 2005
208 	 Sao Tome and Principe 	        16,740,000 	 2005
209 	 Falkland Islands (Islas Malvinas) 	        14,880,000 	 2005
210 	 Turks and Caicos Islands 	        10,760,000 	 2005
211 	 Kiribati 	         8,370,000 	 2005
212 	 Saint Helena 	         7,440,000 	 2005
213 	 Niue 	         2,790,000 	 2005
214 	 Gaza Strip 	          230,000 	 2005

 This file was last updated on 13 December, 2007
