This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
130 	 Ethiopia 	      1,914,000,000 	 2003
131 	 Suriname 	      1,873,000,000 	 2003
132 	 Mauritius 	      1,805,000,000 	 2003
133 	 Angola 	      1,782,000,000 	 2003
134 	 Bahamas, The 	      1,683,000,000 	 2003
135 	 Macau 	      1,682,000,000 	 2003
136 	 Papua New Guinea 	      1,481,000,000 	 2003
137 	 New Caledonia 	      1,470,000,000 	 2003
138 	 Uganda 	      1,448,000,000 	 2003
139 	 Gabon 	      1,383,000,000 	 2003
140 	 Senegal 	      1,239,000,000 	 2003
141 	 Malawi 	      1,206,000,000 	 2003
142 	 Swaziland 	      1,161,000,000 	 2003
143 	 Martinique 	      1,120,000,000 	 2003
144 	 Reunion 	      1,107,000,000 	 2003
145 	 Guadeloupe 	      1,084,000,000 	 2003
146 	 Afghanistan 	      1,042,000,000 	 2003
147 	 Virgin Islands 	       967,300,000 	 2003
148 	 Netherlands Antilles 	       945,800,000 	 2003
149 	 Guam 	       781,300,000 	 2003
150 	 Madagascar 	       767,700,000 	 2003
151 	 Mali 	       762,600,000 	 2003
152 	 Barbados 	       761,700,000 	 2003
153 	 Guyana 	       724,500,000 	 2003
154 	 Fiji 	       721,400,000 	 2003
155 	 Guinea 	       720,800,000 	 2003
156 	 Aruba 	       716,100,000 	 2003
157 	 Togo 	       654,300,000 	 2003
158 	 Jersey 	       630,100,000 	 2004 est.
159 	 Congo, Republic of the 	       619,000,000 	 2003
160 	 Bermuda 	       580,300,000 	 2003
161 	 Benin 	       538,200,000 	 2003
162 	 Haiti 	       507,800,000 	 2003
163 	 Liberia 	       473,800,000 	 2003
164 	 French Polynesia 	       459,200,000 	 2003
165 	 French Guiana 	       432,600,000 	 2003
166 	 Cayman Islands 	       411,000,000 	 2003
167 	 Lesotho 	       363,500,000 	 2003
168 	 Burkina Faso 	       349,300,000 	 2003
169 	 Niger 	       263,900,000 	 2003
170 	 Saint Lucia 	       261,400,000 	 2003
171 	 Eritrea 	       251,900,000 	 2003
172 	 Bhutan 	       250,300,000 	 2003
173 	 Sierra Leone 	       242,400,000 	 2003
174 	 Faroe Islands 	       242,000,000 	 2003
175 	 Greenland 	       225,300,000 	 2003
176 	 Seychelles 	       224,400,000 	 2003
177 	 Djibouti 	       223,200,000 	 2003
178 	 Somalia 	       219,100,000 	 2003
179 	 Micronesia, Federated States of 	       178,600,000 	 2002
180 	 Mauritania 	       172,600,000 	 2003
181 	 Grenada 	       148,600,000 	 2003
182 	 Burundi 	       141,400,000 	 2003
183 	 Gambia, The 	       130,200,000 	 2003
184 	 Maldives 	       125,600,000 	 2003
185 	 Rwanda 	       121,100,000 	 2003
186 	 American Samoa 	       120,900,000 	 2003
187 	 Cambodia 	       115,000,000 	 2003
188 	 Belize 	       111,600,000 	 2003
189 	 Chad 	       111,600,000 	 2003
190 	 Samoa 	       107,900,000 	 2003
191 	 Saint Kitts and Nevis 	       103,900,000 	 2003
192 	 Gibraltar 	        98,690,000 	 2003
193 	 Central African Republic 	        98,580,000 	 2003
194 	 Antigua and Barbuda 	        93,000,000 	 2003
195 	 Saint Vincent and the Grenadines 	        88,350,000 	 2003
196 	 Western Sahara 	        83,700,000 	 2003
197 	 Dominica 	        65,090,000 	 2003
198 	 Guinea-Bissau 	        52,080,000 	 2003
199 	 Solomon Islands 	        51,150,000 	 2003
200 	 Anguilla 	        42,600,000 	 
201 	 Cape Verde 	        41,060,000 	 2003
202 	 Saint Pierre and Miquelon 	        41,060,000 	 2003
203 	 Vanuatu 	        38,130,000 	 2003
204 	 British Virgin Islands 	        32,130,000 	 2003
205 	 Tonga 	        31,620,000 	 2003
206 	 Equatorial Guinea 	        27,370,000 	 2003
207 	 Cook Islands 	        26,040,000 	 2003
208 	 Nauru 	        21,390,000 	 2003
209 	 Falkland Islands (Islas Malvinas) 	        20,680,000 	 2003
210 	 Comoros 	        16,740,000 	 2003
211 	 Sao Tome and Principe 	        13,950,000 	 2003
212 	 Kiribati 	        11,160,000 	 2003
213 	 Saint Helena 	         4,650,000 	 2003
214 	 Turks and Caicos Islands 	         4,650,000 	 2003
215 	 Niue 	         2,790,000 	 2003
216 	 Montserrat 	         1,860,000 	 2003

 This file was last updated on 10 January, 2006
