This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 HIV/AIDS - people living with HIV/AIDS 	 Date of Information
48 	 Togo 	          110,000 	 2003 est.
49 	 Venezuela 	          110,000 	 1999 est.
50 	 Liberia 	          100,000 	 2003 est.
51 	 Congo, Republic of the 	           90,000 	 2003 est.
52 	 Dominican Republic 	           88,000 	 2003 est.
53 	 Peru 	           82,000 	 2003 est.
54 	 Guatemala 	           78,000 	 2003 est.
55 	 Pakistan 	           74,000 	 2001 est.
56 	 Niger 	           70,000 	 2003 est.
57 	 Benin 	           68,000 	 2003 est.
58 	 Honduras 	           63,000 	 2003 est.
59 	 Nepal 	           61,000 	 2001 est.
60 	 Eritrea 	           60,000 	 2003 est.
61 	 Canada 	           56,000 	 2003 est.
62 	 Malaysia 	           52,000 	 2003 est.
63 	 United Kingdom 	           51,000 	 2001 est.
64 	 Gabon 	           48,000 	 2003 est.
65 	 Senegal 	           44,000 	 2003 est.
66 	 Germany 	           43,000 	 2001 est.
67 	 Somalia 	           43,000 	 2001 est.
68 	 Iran 	           31,000 	 2001 est.
69 	 El Salvador 	           29,000 	 2003 est.
70 	 Trinidad and Tobago 	           29,000 	 2003 est.
71 	 Chile 	           26,000 	 2003 est.
72 	 Jamaica 	           22,000 	 2003 est.
73 	 Portugal 	           22,000 	 2001 est.
74 	 Ecuador 	           21,000 	 2003 est.
75 	 Netherlands 	           19,000 	 2001 est.
76 	 Guinea-Bissau 	           17,000 	 2001 est.
77 	 Kazakhstan 	           16,500 	 2001 est.
78 	 Panama 	           16,000 	 2003 est.
79 	 Papua New Guinea 	           16,000 	 2003 est.
80 	 Belarus 	           15,000 	 2001 est.
81 	 Morocco 	           15,000 	 2001 est.
82 	 Paraguay 	           15,000 	 1999 est.
83 	 Australia 	           14,000 	 2003 est.
84 	 Poland 	           14,000 	 2003 est.
85 	 Bangladesh 	           13,000 	 2001 est.
86 	 Switzerland 	           13,000 	 2001 est.
87 	 Costa Rica 	           12,000 	 2003 est.
88 	 Yemen 	           12,000 	 2001 est.
89 	 Japan 	           12,000 	 2003 est.
90 	 Egypt 	           12,000 	 2001 est.
91 	 Guyana 	           11,000 	 2003 est.
92 	 Uzbekistan 	           11,000 	 2003 est.
93 	 Austria 	           10,000 	 2003 est.
94 	 Belgium 	           10,000 	 2003 est.
95 	 Libya 	           10,000 	 2001 est.
96 	 Serbia and Montenegro 	           10,000 	 2001 est.
97 	 Mauritania 	            9,500 	 2003 est.
98 	 Algeria 	            9,100 	 2003 est.
99 	 Greece 	            9,100 	 2001 est.
100 	 Djibouti 	            9,100 	 2003 est.
101 	 Philippines 	            9,000 	 2003 est.
102 	 Korea, South 	            8,300 	 2003 est.
103 	 Estonia 	            7,800 	 2003 est.
104 	 Latvia 	            7,600 	 2001 est.
105 	 Puerto Rico 	            7,397 	 
106 	 Gambia, The 	            6,800 	 2003 est.
107 	 Romania 	            6,500 	 2001 est.
108 	 Nicaragua 	            6,400 	 2003 est.
109 	 Uruguay 	            6,000 	 2001 est.
110 	 Equatorial Guinea 	            5,900 	 2001 est.
111 	 Bahamas, The 	            5,600 	 2003 est.
112 	 Moldova 	            5,500 	 2001 est.
113 	 Suriname 	            5,200 	 2001 est.
114 	 Denmark 	            5,000 	 2003 est.
115 	 Bolivia 	            4,900 	 2003 est.
116 	 Singapore 	            4,100 	 2003 est.
117 	 Kyrgyzstan 	            3,900 	 2003 est.
118 	 Belize 	            3,600 	 2003 est.
119 	 Sweden 	            3,600 	 2001 est.
120 	 Sri Lanka 	            3,500 	 2001 est.
121 	 Cuba 	            3,300 	 2003 est.
122 	 Georgia 	            3,000 	 2003 est.
123 	 Israel 	            3,000 	 1999 est.
124 	 Ireland 	            2,800 	 2001 est.
125 	 Hungary 	            2,800 	 2001 est.
126 	 Lebanon 	            2,800 	 2003 est.
127 	 Armenia 	            2,600 	 2003 est.
128 	 Hong Kong 	            2,600 	 2003 est.
129 	 Barbados 	            2,500 	 2003 est.
130 	 Czech Republic 	            2,500 	 2001 est.
131 	 Norway 	            2,100 	 2001 est.
132 	 Laos 	            1,700 	 2003 est.
133 	 Finland 	            1,500 	 2003 est.
134 	 Azerbaijan 	            1,400 	 2003 est.
135 	 New Zealand 	            1,400 	 2003 est.
136 	 Lithuania 	            1,300 	 2003 est.
137 	 Oman 	            1,300 	 2001 est.
138 	 Cyprus 	            1,000 	 1999 est.
139 	 Tunisia 	            1,000 	 2003 est.
140 	 Bosnia and Herzegovina 	             900 	 2003 est.
141 	 Cape Verde 	             775 	 
142 	 Mauritius 	             700 	 2001 est.
143 	 Bahrain 	             600 	 2003 est.
144 	 Fiji 	             600 	 2003 est.
145 	 Jordan 	             600 	 2003 est.
146 	 Iraq 	             500 	 2003 est.
147 	 Syria 	             500 	 2003 est.
148 	 Malta 	             500 	 2003 est.
149 	 Mongolia 	             500 	 2003 est
150 	 Luxembourg 	             500 	 2003 est.
151 	 Bulgaria 	             346 	 2001 est.
152 	 Slovenia 	             280 	 2001 est.
153 	 Iceland 	             220 	 2001 est.
154 	 Brunei 	             200 	 2003 est.
155 	 Turkmenistan 	             200 	 2003 est.
156 	 Tajikistan 	             200 	 2003 est.
157 	 Macedonia 	             200 	 2003 est.
158 	 Slovakia 	             200 	 2003 est.
159 	 Croatia 	             200 	 2001 est.
160 	 Bhutan 	             100 	 1999 est.
161 	 Greenland 	             100 	 
162 	 Maldives 	             100 	 2001 est.
163 	 Samoa 	              12 	 
164 	 Svalbard 	               0 	 2001

 This file was last updated on 10 January, 2006
