This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
169 	 Gaza Strip 	 $        270,000,000 	 2003
170 	 West Bank 	 $        270,000,000 	 2003
171 	 Djibouti 	 $        250,000,000 	 2004 est.
172 	 Martinique 	 $        250,000,000 	 1997
173 	 Somalia 	 $        241,000,000 	 2004 est.
174 	 Niger 	 $        222,000,000 	 2004 est.
175 	 Antigua and Barbuda 	 $        214,000,000 	 2004 est.
176 	 Reunion 	 $        214,000,000 	 1997
177 	 Barbados 	 $        209,000,000 	 2004 est.
178 	 Vanuatu 	 $        205,000,000 	 2004 est.
179 	 Sierra Leone 	 $        185,000,000 	 2004 est.
180 	 Solomon Islands 	 $        171,000,000 	 2004 est.
181 	 Turks and Caicos Islands 	 $        169,200,000 	 2000
182 	 French Guiana 	 $        155,000,000 	 2002 est.
183 	 Bhutan 	 $        154,000,000 	 2000 est.
184 	 Gambia, The 	 $        140,300,000 	 2005 est.
185 	 Guadeloupe 	 $        140,000,000 	 1997
186 	 Central African Republic 	 $        131,000,000 	 2004 est.
187 	 Falkland Islands (Islas Malvinas) 	 $        125,000,000 	 2004 est.
188 	 Maldives 	 $        123,000,000 	 2004 est.
189 	 Guinea-Bissau 	 $        116,000,000 	 2004 est.
190 	 Rwanda 	 $         98,000,000 	 2005 est.
191 	 Samoa 	 $         94,000,000 	 2004 est.
192 	 Saint Lucia 	 $         82,000,000 	 2004 est.
193 	 Aruba 	 $         80,000,000 	 2004 est.
194 	 Dominica 	 $         74,000,000 	 2004 est.
195 	 Cape Verde 	 $         73,350,000 	 2005 est.
196 	 Saint Kitts and Nevis 	 $         70,000,000 	 2004 est.
197 	 Andorra 	 $         58,000,000 	 1998
198 	 Burundi 	 $         52,000,000 	 2005 est.
199 	 Cyprus 	 $         49,300,000 	 2005 est.
200 	 Guam 	 $         45,000,000 	 2004 est.
201 	 Grenada 	 $         40,000,000 	 2004 est.
202 	 Saint Vincent and the Grenadines 	 $         37,000,000 	 2004 est.
203 	 Comoros 	 $         34,000,000 	 2004 est.
204 	 Tonga 	 $         34,000,000 	 2004 est.
205 	 Eritrea 	 $         33,580,000 	 2005 est.
206 	 British Virgin Islands 	 $         25,300,000 	 2002
207 	 Micronesia, Federated States of 	 $         22,000,000 	 FY99/00 est.
208 	 Saint Helena 	 $         19,000,000 	 2004 est.
209 	 Palau 	 $         18,000,000 	 2001 est.
210 	 Kiribati 	 $         17,000,000 	 2004 est.
211 	 Nauru 	 $         17,000,000 	 2004 est.
212 	 American Samoa 	 $         10,000,000 	 2004 est.
213 	 East Timor 	 $         10,000,000 	 2005 est.
214 	 Cook Islands 	 $          9,100,000 	 2000
215 	 Marshall Islands 	 $          9,000,000 	 2000
216 	 Sao Tome and Principe 	 $          8,000,000 	 2005 est.
217 	 Saint Pierre and Miquelon 	 $          7,000,000 	 2004 est.
218 	 Mayotte 	 $          3,440,000 	 1997
219 	 Anguilla 	 $          2,600,000 	 1999
220 	 Norfolk Island 	 $          1,500,000 	 FY91/92
221 	 Cayman Islands 	 $          1,200,000 	 1999
222 	 Tuvalu 	 $          1,000,000 	 2004 est.
223 	 Montserrat 	 $           700,000 	 2001
224 	 Wallis and Futuna 	 $           250,000 	 1999
225 	 Niue 	 $           137,200 	 1999
226 	 Tokelau 	 $            98,000 	 1983

 This file was last updated on 10 January, 2006
