This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Merchant marine 	 Date of Information
91 	 Slovenia 	              23 	 
92 	 Papua New Guinea 	              22 	 2005
93 	 Qatar 	              22 	 2005
94 	 Paraguay 	              21 	 2005
95 	 Jordan 	              20 	 2005
96 	 Latvia 	              19 	 2005
97 	 Israel 	              17 	 2005
98 	 Libya 	              17 	 2005
99 	 Maldives 	              16 	 2005
100 	 Colombia 	              15 	 2005
101 	 Sao Tome and Principe 	              15 	 2005
102 	 French Polynesia 	              15 	 2005
103 	 Cuba 	              15 	 2005
104 	 Faroe Islands 	              14 	 2005
105 	 Iraq 	              14 	 2005
106 	 New Zealand 	              13 	 2005
107 	 Pakistan 	              13 	 2005
108 	 Tunisia 	              12 	 2005
109 	 Tanzania 	              11 	 2005
110 	 Uruguay 	              11 	 2005
111 	 Jamaica 	               9 	 2005
112 	 Madagascar 	               9 	 2005
113 	 Austria 	               8 	 2005
114 	 Bahrain 	               8 	 2005
115 	 Brunei 	               8 	 2005
116 	 Ethiopia 	               8 	 2005
117 	 Mauritius 	               8 	 2005
118 	 Fiji 	               7 	 2005
119 	 Poland 	               7 	 2005
120 	 Turkmenistan 	               7 	 2005
121 	 Eritrea 	               6 	 2005
122 	 Guyana 	               6 	 2005
123 	 Trinidad and Tobago 	               6 	 2005
124 	 Cape Verde 	               5 	 2005
125 	 Seychelles 	               5 	 2005
126 	 Yemen 	               5 	 2005
127 	 Angola 	               4 	 2005
128 	 Gambia, The 	               4 	 2005
129 	 Wallis and Futuna 	               4 	 2005
130 	 Peru 	               4 	 2005
131 	 Ghana 	               4 	 2005
132 	 Dominican Republic 	               3 	 2005
133 	 Kazakhstan 	               3 	 2005
134 	 Kenya 	               3 	 2005
135 	 Iceland 	               3 	 2005
136 	 Greenland 	               3 	 2005
137 	 French Guiana 	               3 	 
138 	 Czech Republic 	               3 	 
139 	 Costa Rica 	               2 	 2005
140 	 Sudan 	               2 	 2005
141 	 Serbia and Montenegro 	               2 	 2005
142 	 Togo 	               2 	 2005
143 	 Sierra Leone 	               2 	 2005
144 	 Moldova 	               2 	 2005
145 	 New Caledonia 	               2 	 2005
146 	 Puerto Rico 	               2 	 2005
147 	 South Africa 	               2 	 2005
148 	 Mozambique 	               2 	 2005
149 	 Micronesia, Federated States of 	               2 	 2005
150 	 Andorra 	               1 	 
151 	 Samoa 	               1 	 2005
152 	 Namibia 	               1 	 2005
153 	 British Virgin Islands 	               1 	 2005
154 	 Reunion 	               1 	 2005
155 	 Suriname 	               1 	 2005
156 	 Oman 	               1 	 2005
157 	 Laos 	               1 	 2005
158 	 Guadeloupe 	               1 	 2005
159 	 Cook Islands 	               1 	 2005
160 	 Djibouti 	               1 	 2005
161 	 Kiribati 	               1 	 2005
162 	 Equatorial Guinea 	               1 	 2005
163 	 Congo, Democratic Republic of the 	               1 	 
164 	 Cameroon 	               1 	 2005

 This file was last updated on 10 January, 2006
