This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
119 	 Uruguay 	         1,520,000 	 2005 est.
120 	 Mongolia 	         1,488,000 	 2003
121 	 Jordan 	         1,460,000 	 2005 est.
122 	 Panama 	         1,390,000 	 2005 est.
123 	 Sierra Leone 	         1,369,000 	 1981 est.
124 	 Moldova 	         1,340,000 	 2005 est.
125 	 Puerto Rico 	         1,300,000 	 2000
126 	 Armenia 	         1,200,000 	 2004
127 	 Jamaica 	         1,200,000 	 2005 est.
128 	 Latvia 	         1,110,000 	 2005 est.
129 	 Albania 	         1,090,000 	 2004 est.
130 	 Bosnia and Herzegovina 	         1,026,000 	 2001
131 	 Oman 	          920,000 	 2002 est.
132 	 Slovenia 	          920,000 	 2005 est.
133 	 Macedonia 	          855,000 	 2004 est.
134 	 Lesotho 	          838,000 	 2000
135 	 Namibia 	          820,000 	 2005 est.
136 	 Mauritania 	          786,000 	 2001
137 	 Estonia 	          670,000 	 2005 est.
138 	 Gabon 	          640,000 	 2005 est.
139 	 Trinidad and Tobago 	          620,000 	 2005 est.
140 	 West Bank 	          614,000 	 April-June 2005
141 	 Mauritius 	          570,000 	 2005 est.
142 	 Guinea-Bissau 	          480,000 	 1999
143 	 Qatar 	          440,000 	 2005 est.
144 	 Guyana 	          418,000 	 2001 est.
145 	 Gambia, The 	          400,000 	 1996
146 	 Bahrain 	          380,000 	 2005 est.
147 	 Cyprus 	          370,000 	 2005 est.
148 	 Reunion 	          309,900 	 2000
149 	 Botswana 	          288,400 	 2004
150 	 Djibouti 	          282,000 	 2000
151 	 Gaza Strip 	          278,000 	 April-June 2005
152 	 Macau 	          231,500 	 3rd Quarter, 2004
153 	 Luxembourg 	          200,000 	 2005 est.
154 	 Martinique 	          165,900 	 1998
155 	 Iceland 	          160,000 	 2005 est.
156 	 Malta 	          160,000 	 2002 est.
157 	 Brunei 	          158,000 	 2002 est.
158 	 Bahamas, The 	          156,000 	 1999
159 	 Swaziland 	          155,700 	 2003
160 	 Comoros 	          144,500 	 1996 est.
161 	 Fiji 	          137,000 	 1999
162 	 Barbados 	          128,500 	 2001 est.
163 	 Guadeloupe 	          125,900 	 1997
164 	 Suriname 	          104,000 	 2003
165 	 Cyprus 	           95,025 	 2005 est.
166 	 Belize 	           90,000 	 2001 est.
167 	 Samoa 	           90,000 	 2000 est.
168 	 Netherlands Antilles 	           89,000 	 2000
169 	 Maldives 	           88,000 	 2000
170 	 New Caledonia 	           79,400 	 1996
171 	 French Polynesia 	           70,000 	 1996
172 	 Niger 	           70,000 	 2002 est.
173 	 Saint Vincent and the Grenadines 	           67,000 	 1984 est.
174 	 Guam 	           60,000 	 2000 est.
175 	 French Guiana 	           58,800 	 1997
176 	 Jersey 	           52,790 	 2004
177 	 Virgin Islands 	           48,900 	 2003 est.
178 	 Mayotte 	           48,800 	 2000
179 	 Saint Lucia 	           43,800 	 2001 est.
180 	 Grenada 	           42,300 	 1996
181 	 Aruba 	           41,500 	 1997 est.
182 	 Isle of Man 	           39,690 	 2001
183 	 Bermuda 	           37,470 	 2000
184 	 Tonga 	           33,910 	 1996
185 	 Andorra 	           33,000 	 2001 est.
186 	 Guernsey 	           32,290 	 2001
187 	 Seychelles 	           30,900 	 1996
188 	 Monaco 	           30,540 	 January 1994
189 	 Antigua and Barbuda 	           30,000 	 
190 	 Liechtenstein 	           29,000 	 31 December 2001
191 	 Marshall Islands 	           28,700 	 1996 est.
192 	 Solomon Islands 	           26,840 	 1999
193 	 Dominica 	           25,000 	 1999 est.
194 	 Greenland 	           24,500 	 1999 est.
195 	 Faroe Islands 	           24,250 	 October 2000
196 	 Cayman Islands 	           19,820 	 1995
197 	 San Marino 	           18,500 	 1999
198 	 Saint Kitts and Nevis 	           18,170 	 June 1995
199 	 Gibraltar 	           14,800 	 1999
200 	 American Samoa 	           14,000 	 1996
201 	 British Virgin Islands 	           12,770 	 2004
202 	 Western Sahara 	           12,000 	 
203 	 Palau 	            9,845 	 2000
204 	 Cook Islands 	            8,000 	 1996
205 	 Kiribati 	            7,870 	 2001 est.
206 	 Tuvalu 	            7,000 	 2001 est.
207 	 Anguilla 	            6,049 	 2001
208 	 Northern Mariana Islands 	            6,006 	 June 1995
209 	 Turks and Caicos Islands 	            4,848 	 1990 est.
210 	 Montserrat 	            4,521 	 2000 est.
211 	 Saint Helena 	            3,500 	 1998 est.
212 	 Saint Pierre and Miquelon 	            3,261 	 1999
213 	 Norfolk Island 	            1,345 	 
214 	 Falkland Islands (Islas Malvinas) 	            1,100 	 
215 	 Pitcairn Islands 	              15 	 2004

 This file was last updated on 10 January, 2006
