This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Public debt(% of GDP) 	 Date of Information
76 	 Korea, South 	     28.20 	 2007 est.
77 	 Zambia 	     28.10 	 2007 est.
78 	 Trinidad and Tobago 	     27.90 	 2007 est.
79 	 Taiwan 	     27.90 	 2007 est.
80 	 Iceland 	     27.60 	 2007 est.
81 	 Paraguay 	     27.00 	 2007 est.
82 	 Denmark 	     26.00 	 2007 est.
83 	 Czech Republic 	     26.00 	 2007 est.
84 	 Ireland 	     24.90 	 2007 est.
85 	 Saudi Arabia 	     24.30 	 2007 est.
86 	 Honduras 	     24.10 	 2007 est.
87 	 Slovenia 	     23.60 	 2007 est.
88 	 Moldova 	     23.30 	 2007 est.
89 	 Senegal 	     22.90 	 2007 est.
90 	 Mexico 	     22.80 	 2007 est.
91 	 Namibia 	     22.30 	 2007 est.
92 	 Mozambique 	     22.20 	 2007 est.
93 	 United Arab Emirates 	     21.20 	 2007 est.
94 	 Guatemala 	     20.90 	 2007 est.
95 	 New Zealand 	     20.70 	 2007 est.
96 	 Uganda 	     20.60 	 2007 est.
97 	 Tanzania 	     19.60 	 2007 est.
98 	 Venezuela 	     19.30 	 2007 est.
99 	 Uzbekistan 	     18.70 	 2007 est.
100 	 China 	     18.40 	 2007 est.
101 	 Algeria 	     18.00 	 2007 est.
102 	 Lithuania 	     17.30 	 2007 est.
103 	 Iran 	     17.20 	 2007 est.
104 	 Gibraltar 	     15.70 	 2005 est.
105 	 Australia 	     15.60 	 2007 est.
106 	 Cameroon 	     15.50 	 2007 est.
107 	 Nigeria 	     14.40 	 2007 est.
108 	 Romania 	     13.00 	 2007 est.
109 	 Hong Kong 	     12.50 	 2007 est.
110 	 Angola 	     12.00 	 2007 est.
111 	 Ukraine 	     11.70 	 2007 est.
112 	 Qatar 	     11.00 	 2007 est.
113 	 Bulgaria 	     10.50 	 2007 est.
114 	 Kuwait 	      9.70 	 2007 est.
115 	 Kazakhstan 	      7.70 	 2007 est.
116 	 Latvia 	      7.40 	 2007 est.
117 	 Azerbaijan 	      6.70 	 2007 est.
118 	 Luxembourg 	      6.40 	 2007 est.
119 	 Russia 	      5.90 	 2007 est.
120 	 Wallis and Futuna 	      5.60 	 2004 est.
121 	 Botswana 	      5.40 	 2007 est.
122 	 Libya 	      4.70 	 2007 est.
123 	 Chile 	      4.10 	 2007 est.
124 	 Oman 	      3.70 	 2007 est.
125 	 Estonia 	      3.40 	 2007 est.
126 	 Equatorial Guinea 	      1.60 	 2007 est.

 This file was last updated on 18 December, 2008
