This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Education expenditures(% of GDP) 	 Date of Information
170 	 China 	            1.90 	 1999
171 	 Vietnam 	            1.80 	 1991
172 	 Cambodia 	            1.70 	 2004
173 	 Guinea 	            1.60 	 2005
174 	 Central African Republic 	            1.40 	 2006
175 	 Haiti 	            1.40 	 1991
176 	 United Arab Emirates 	            1.30 	 2005
177 	 Bermuda 	            1.20 	 2006
178 	 Burma 	            1.20 	 2001
179 	 Ecuador 	            1.00 	 2001
180 	 Nigeria 	            0.90 	 1991
181 	 Equatorial Guinea 	            0.60 	 2003
182 	 Cook Islands 	            0.20 	 2001

 This file was last updated on 18 December, 2008
