This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Debt - external 	 Date of Information
163 	 Seychelles 	 $        508,000,000 	 2005 est.
164 	 Suriname 	 $        504,300,000 	 2005 est.
165 	 Aruba 	 $        478,600,000 	 2005 est.
166 	 Antigua and Barbuda 	 $        427,300,000 	 2000
167 	 Djibouti 	 $        394,000,000 	 2004 est.
168 	 Swaziland 	 $        357,000,000 	 2003 est.
169 	 Equatorial Guinea 	 $        353,000,000 	 2005 est.
170 	 Grenada 	 $        347,000,000 	 2004
171 	 Bahamas, The 	 $        342,600,000 	 2004 est.
172 	 Cape Verde 	 $        325,000,000 	 2002
173 	 Sao Tome and Principe 	 $        318,000,000 	 2002
174 	 Saint Kitts and Nevis 	 $        314,000,000 	 2004
175 	 Eritrea 	 $        311,000,000 	 2000 est.
176 	 Maldives 	 $        304,000,000 	 2004 est.
177 	 Saint Lucia 	 $        257,000,000 	 2004
178 	 Comoros 	 $        232,000,000 	 2000 est.
179 	 Saint Vincent and the Grenadines 	 $        223,000,000 	 2004
180 	 Dominica 	 $        213,000,000 	 2004
181 	 Malta 	 $        188,800,000 	 2005
182 	 Martinique 	 $        180,000,000 	 1994
183 	 Samoa 	 $        177,000,000 	 2004
184 	 Solomon Islands 	 $        166,000,000 	 2004
185 	 Bermuda 	 $        160,000,000 	 FY99/00
186 	 Cook Islands 	 $        141,000,000 	 1996 est.
187 	 Fiji 	 $        127,000,000 	 2004 est.
188 	 Marshall Islands 	 $         86,500,000 	 FY99/00 est.
189 	 Vanuatu 	 $         81,200,000 	 2004
190 	 Tonga 	 $         80,700,000 	 2004
191 	 New Caledonia 	 $         79,000,000 	 1998 est.
192 	 Cayman Islands 	 $         70,000,000 	 1996
193 	 Faroe Islands 	 $         64,000,000 	 1999
194 	 Micronesia, Federated States of 	 $         60,800,000 	 FY05 est.
195 	 British Virgin Islands 	 $         36,100,000 	 1997
196 	 Nauru 	 $         33,300,000 	 2002
197 	 Greenland 	 $         25,000,000 	 1999
198 	 Kiribati 	 $         10,000,000 	 1999 est.
199 	 Montserrat 	 $          8,900,000 	 1997
200 	 Anguilla 	 $          8,800,000 	 1998
201 	 Wallis and Futuna 	 $          3,670,000 	 
202 	 Niue 	 $           418,000 	 2002 est.
203 	 Brunei 	 $                0 	 
204 	 Palau 	 $                0 	 FY99/00
205 	 Tokelau 	 $                0 	 
206 	 West Bank 	 $                0 	 2002
207 	 East Timor 	 $                0 	 
208 	 Gaza Strip 	 $                0 	 2002
209 	 Liechtenstein 	 $                0 	 2001

 This file was last updated on 19 December, 2006
