This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Population 	 Date of Information
227 	 Tuvalu 	           11,810 	 July 2006 est.
228 	 Montserrat 	            9,439 	 July 2006 est.
229 	 Saint Helena 	            7,502 	 July 2006 est.
230 	 Saint Pierre and Miquelon 	            7,026 	 July 2006 est.
231 	 Falkland Islands (Islas Malvinas) 	            2,967 	 July 2006 est.
232 	 Svalbard 	            2,701 	 July 2006 est.
233 	 Niue 	            2,166 	 July 2006 est.
234 	 Norfolk Island 	            1,828 	 July 2006 est.
235 	 Christmas Island 	            1,493 	 
236 	 Tokelau 	            1,392 	 July 2006 est.
237 	 Holy See (Vatican City) 	             932 	 July 2006 est.
238 	 Cocos (Keeling) Islands 	             574 	 July 2006 est.
239 	 Pitcairn Islands 	              45 	 July 2006 est.

 This file was last updated on 19 December, 2006
