This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
98 	 Burma 	          476,200 	 2005
99 	 Nepal 	          448,600 	 2005
100 	 Estonia 	          442,000 	 2005
101 	 Panama 	          440,100 	 2005
102 	 Kyrgyzstan 	          438,200 	 2005
103 	 Cyprus 	          420,000 	 
104 	 Turkmenistan 	          376,100 	 2003
105 	 Mauritius 	          359,000 	 2005
106 	 West Bank 	          357,300 	 2004
107 	 Gaza Strip 	          349,000 	 2005
108 	 Jamaica 	          342,000 	 2005
109 	 Zimbabwe 	          328,000 	 2005
110 	 Trinidad and Tobago 	          323,500 	 2005
111 	 Ghana 	          321,500 	 2005
112 	 Paraguay 	          320,300 	 2005
113 	 Reunion 	          300,000 	 2001
114 	 Kenya 	          281,800 	 2005
115 	 Senegal 	          266,600 	 2005
116 	 Oman 	          265,200 	 2005
117 	 Cote d'Ivoire 	          257,900 	 2004
118 	 Albania 	          255,000 	 2003
119 	 Tajikistan 	          245,200 	 2004
120 	 Luxembourg 	          244,500 	 2005
121 	 Nicaragua 	          220,900 	 2005
122 	 Guadeloupe 	          210,000 	 2001
123 	 Qatar 	          205,400 	 2005
124 	 Malta 	          202,100 	 2005
125 	 Bahrain 	          196,500 	 2005
126 	 Iceland 	          193,900 	 2005
127 	 Montenegro 	          177,663 	 2005
128 	 Macau 	          174,400 	 2005
129 	 Martinique 	          172,000 	 2001
130 	 Mongolia 	          156,000 	 2005
131 	 Tanzania 	          148,400 	 2004
132 	 Haiti 	          140,000 	 2004
133 	 Bahamas, The 	          139,900 	 2004
134 	 Barbados 	          134,900 	 2005
135 	 Botswana 	          132,000 	 2005
136 	 Namibia 	          127,900 	 2004
137 	 Guyana 	          110,100 	 2005
138 	 Malawi 	          102,700 	 2005
139 	 Fiji 	          102,000 	 2003
140 	 Uganda 	          100,800 	 2005
141 	 Afghanistan 	          100,000 	 2005
142 	 Somalia 	          100,000 	 2005
143 	 Cameroon 	           99,400 	 2004
144 	 Burkina Faso 	           97,400 	 2005
145 	 Zambia 	           94,700 	 2005
146 	 Angola 	           94,300 	 2005
147 	 Laos 	           90,067 	 2006
148 	 Brunei 	           90,000 	 2002
149 	 Cyprus 	           86,228 	 
150 	 Guam 	           84,134 	 2001
151 	 Suriname 	           81,100 	 2004
152 	 Netherlands Antilles 	           81,000 	 2001
153 	 Benin 	           76,300 	 2005
154 	 Mali 	           75,000 	 2005
155 	 Jersey 	           73,900 	 2001
156 	 Cape Verde 	           71,400 	 2005
157 	 Virgin Islands 	           70,900 	 2004
158 	 Mozambique 	           69,700 	 2004
159 	 Madagascar 	           66,900 	 2005
160 	 Papua New Guinea 	           62,000 	 2002
161 	 Togo 	           58,600 	 2005
162 	 Bermuda 	           56,000 	 2002
163 	 New Caledonia 	           55,300 	 2005
164 	 Guernsey 	           55,100 	 2004
165 	 French Polynesia 	           53,400 	 2005
166 	 Saint Lucia 	           51,100 	 2002
167 	 French Guiana 	           51,000 	 2001
168 	 Isle of Man 	           51,000 	 1999
169 	 Lesotho 	           48,000 	 2005
170 	 Gambia, The 	           44,000 	 2005
171 	 Mauritania 	           41,000 	 2005
172 	 Gabon 	           39,100 	 2005
173 	 Antigua and Barbuda 	           38,000 	 2004
174 	 Cayman Islands 	           38,000 	 2002
175 	 Eritrea 	           37,700 	 2005
176 	 Aruba 	           37,100 	 2002
177 	 Cambodia 	           36,400 	 2003
178 	 Andorra 	           35,400 	 2005
179 	 Swaziland 	           35,000 	 2005
180 	 Monaco 	           33,700 	 2002
181 	 Belize 	           33,300 	 2005
182 	 Bhutan 	           32,700 	 2005
183 	 Grenada 	           32,700 	 2004
184 	 Maldives 	           32,300 	 2005
185 	 Burundi 	           27,700 	 2004
186 	 Guinea 	           26,200 	 2003
187 	 Greenland 	           25,300 	 2002
188 	 Saint Kitts and Nevis 	           25,000 	 2004
189 	 Gibraltar 	           24,512 	 2002
190 	 Niger 	           24,000 	 2005
191 	 Sierra Leone 	           24,000 	 2002
192 	 Faroe Islands 	           23,800 	 2005
193 	 Rwanda 	           23,000 	 2004
194 	 Saint Vincent and the Grenadines 	           22,500 	 2005
195 	 Seychelles 	           21,400 	 2005
196 	 Northern Mariana Islands 	           21,000 	 2000
197 	 Dominica 	           21,000 	 2004
198 	 San Marino 	           20,600 	 2002
199 	 Liechtenstein 	           19,900 	 2002
200 	 Comoros 	           16,900 	 2005
201 	 American Samoa 	           15,000 	 2001
202 	 Congo, Republic of the 	           13,800 	 2004
203 	 Samoa 	           13,300 	 2003
204 	 Chad 	           13,000 	 2004
205 	 Micronesia, Federated States of 	           12,400 	 2005
206 	 British Virgin Islands 	           11,700 	 2002
207 	 Tonga 	           11,200 	 2002
208 	 Djibouti 	           11,100 	 2004
209 	 Congo, Democratic Republic of the 	           10,600 	 2005
210 	 Guinea-Bissau 	           10,600 	 2003
211 	 Central African Republic 	           10,000 	 2004
212 	 Equatorial Guinea 	           10,000 	 2005
213 	 Mayotte 	           10,000 	 2002
214 	 Solomon Islands 	            7,400 	 2005
215 	 Sao Tome and Principe 	            7,000 	 2004
216 	 Liberia 	            6,900 	 2002
217 	 Vanuatu 	            6,800 	 2004
218 	 Palau 	            6,700 	 2002
219 	 Anguilla 	            6,200 	 2002
220 	 Cook Islands 	            6,200 	 2002
221 	 Turks and Caicos Islands 	            5,700 	 2002
222 	 Marshall Islands 	            5,510 	 2004
223 	 Holy See (Vatican City) 	            5,120 	 2005
224 	 Saint Pierre and Miquelon 	            4,800 	 2002
225 	 Kiribati 	            4,500 	 2002
226 	 Norfolk Island 	            2,532 	 2004
227 	 Falkland Islands (Islas Malvinas) 	            2,400 	 2002
228 	 Saint Helena 	            2,200 	 2002
229 	 Nauru 	            1,900 	 2002
230 	 Wallis and Futuna 	            1,900 	 2002
231 	 Niue 	            1,100 	 2002
232 	 Tuvalu 	             700 	 2002
233 	 Tokelau 	             300 	 2002
234 	 Cocos (Keeling) Islands 	             287 	 1992
235 	 Pitcairn Islands 	               1 	 2004
236 	 Antarctica 	               0 	 2001

 This file was last updated on 19 December, 2006
