This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet hosts 	 Date of Information
143 	 Jersey 	            1,240 	 2006
144 	 Algeria 	            1,202 	 2006
145 	 Laos 	            1,108 	 2006
146 	 Eritrea 	            1,088 	 2006
147 	 Guyana 	            1,046 	 2006
148 	 Azerbaijan 	             880 	 2006
149 	 Benin 	             867 	 2006
150 	 Sao Tome and Principe 	             735 	 2006
151 	 Gibraltar 	             641 	 2006
152 	 Bahamas, The 	             591 	 2006
153 	 Turkmenistan 	             585 	 2006
154 	 Micronesia, Federated States of 	             550 	 2006
155 	 British Virgin Islands 	             525 	 2006
156 	 Togo 	             520 	 2006
157 	 Bangladesh 	             469 	 2006
158 	 Albania 	             430 	 2006
159 	 Tunisia 	             428 	 2006
160 	 Guadeloupe 	             422 	 2006
161 	 Vanuatu 	             413 	 2006
162 	 Senegal 	             412 	 2006
163 	 Puerto Rico 	             404 	 2006
164 	 Anguilla 	             403 	 2006
165 	 Burkina Faso 	             399 	 2006
166 	 Montserrat 	             386 	 2006
167 	 Ghana 	             380 	 2006
168 	 Malawi 	             377 	 2006
169 	 Guinea 	             367 	 2006
170 	 Saint Helena 	             329 	 2006
171 	 Gabon 	             322 	 2006
172 	 Qatar 	             301 	 2006
173 	 Tokelau 	             298 	 2006
174 	 Isle of Man 	             290 	 2006
175 	 Barbados 	             282 	 2006
176 	 Mali 	             278 	 2006
177 	 Mongolia 	             272 	 2006
178 	 South Georgia and the South Sandwich Islands 	             271 	 2006
179 	 Dominica 	             263 	 2006
180 	 Cape Verde 	             234 	 2006
181 	 Niger 	             189 	 2006
182 	 Yemen 	             171 	 2006
183 	 Lesotho 	             168 	 2006
184 	 Burundi 	             160 	 2006
185 	 Suriname 	             126 	 2006
186 	 Macau 	             108 	 2006
187 	 French Guiana 	             106 	 2006
188 	 Falkland Islands (Islas Malvinas) 	             103 	 2006
189 	 Norfolk Island 	             100 	 2006
190 	 Tajikistan 	              98 	 2006
191 	 Saint Vincent and the Grenadines 	              94 	 2006
192 	 Ethiopia 	              88 	 2006
193 	 Guam 	              76 	 2006
194 	 Martinique 	              72 	 2006
195 	 Seychelles 	              72 	 2006
196 	 East Timor 	              68 	 2006
197 	 Syria 	              66 	 2006
198 	 British Indian Ocean Territory 	              65 	 2006
199 	 Nauru 	              52 	 2006
200 	 Saint Kitts and Nevis 	              50 	 2006
201 	 Congo, Republic of the 	              46 	 2004
202 	 Holy See (Vatican City) 	              45 	 2006
203 	 Burma 	              42 	 2006
204 	 Kiribati 	              42 	 2006
205 	 Cameroon 	              39 	 2006
206 	 French Southern and Antarctic Lands 	              38 	 2006
207 	 Mauritania 	              32 	 2006
208 	 Libya 	              31 	 2006
209 	 Reunion 	              29 	 2006
210 	 Brunei 	              27 	 2005
211 	 Afghanistan 	              22 	 2006
212 	 Saint Lucia 	              21 	 2006
213 	 Northern Mariana Islands 	              20 	 2005
214 	 Sierra Leone 	              20 	 2006
215 	 Equatorial Guinea 	              19 	 2006
216 	 Grenada 	              17 	 2006
217 	 Sudan 	              16 	 2006
218 	 Gambia, The 	              14 	 2006
219 	 Central African Republic 	              10 	 2006
220 	 Chad 	               9 	 2006
221 	 Liberia 	               8 	 2006
222 	 Pitcairn Islands 	               8 	 2006
223 	 Bouvet Island 	               6 	 2006
224 	 Marshall Islands 	               6 	 2006
225 	 Haiti 	               6 	 2006
226 	 Comoros 	               5 	 2006
227 	 Iraq 	               5 	 2006
228 	 Guinea-Bissau 	               5 	 2006
229 	 Palau 	               3 	 2006
230 	 Somalia 	               3 	 2006
231 	 Mayotte 	               1 	 2006
232 	 Wallis and Futuna 	               1 	 2006
233 	 Saint Pierre and Miquelon 	               0 	 2006

 This file was last updated on 19 December, 2006
