This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Merchant marine 	 Date of Information
139 	 South Africa 	               3 	 2006
140 	 Kenya 	               3 	 2006
141 	 Puerto Rico 	               3 	 2006
142 	 Costa Rica 	               2 	 2006
143 	 Togo 	               2 	 2006
144 	 Sudan 	               2 	 2006
145 	 New Caledonia 	               2 	 2006
146 	 Mozambique 	               2 	 2006
147 	 Kiribati 	               2 	 2006
148 	 Gabon 	               2 	 2006
149 	 Micronesia, Federated States of 	               2 	 2006
150 	 Anguilla 	               1 	 2006
151 	 Cameroon 	               1 	 2006
152 	 Djibouti 	               1 	 2006
153 	 Laos 	               1 	 2006
154 	 Samoa 	               1 	 2006
155 	 Namibia 	               1 	 2006
156 	 British Virgin Islands 	               1 	 2006
157 	 Somalia 	               1 	 2006
158 	 Reunion 	               1 	 2006
159 	 Suriname 	               1 	 2006
160 	 Oman 	               1 	 2006
161 	 Iceland 	               1 	 2006
162 	 Dominican Republic 	               1 	 2006
163 	 Czech Republic 	               1 	 2006
164 	 Equatorial Guinea 	               1 	 2006
165 	 Congo, Republic of the 	               1 	 2006
166 	 Congo, Democratic Republic of the 	               1 	 2006

 This file was last updated on 19 December, 2006
