This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Public debt(% of GDP) 	 Date of Information
75 	 Peru 	     38.00 	 2005 est.
76 	 Denmark 	     37.00 	 2005 est.
77 	 Uzbekistan 	     36.10 	 2005 est.
78 	 Paraguay 	     36.00 	 2005 est.
79 	 South Africa 	     35.80 	 2005 est.
80 	 Qatar 	     35.60 	 2005 est.
81 	 Yemen 	     34.40 	 2005 est.
82 	 Venezuela 	     34.20 	 2005 est.
83 	 Macedonia 	     33.70 	 2005 est.
84 	 Gabon 	     33.60 	 2005 est.
85 	 Taiwan 	     33.60 	 2005 est.
86 	 Bahrain 	     33.50 	 2005 est.
87 	 Namibia 	     32.70 	 2005 est.
88 	 Bulgaria 	     31.90 	 2005 est.
89 	 Iceland 	     31.60 	 2005 est.
90 	 Algeria 	     30.20 	 2005 est.
91 	 Bosnia and Herzegovina 	     29.00 	 
92 	 Iran 	     28.90 	 2005 est.
93 	 Slovenia 	     28.50 	 2005 est.
94 	 Ireland 	     26.70 	 2005 est.
95 	 Czech Republic 	     25.90 	 2005 est.
96 	 Guatemala 	     25.90 	 2005 est.
97 	 China 	     24.40 	 2005 est.
98 	 New Zealand 	     21.30 	 2005 est.
99 	 Mozambique 	     21.00 	 
100 	 Romania 	     20.30 	 2005 est.
101 	 Korea, South 	     20.00 	 2005 est.
102 	 Lithuania 	     18.70 	 2005 est.
103 	 United Arab Emirates 	     17.50 	 2005 est.
104 	 Mexico 	     17.40 	 2005 est.
105 	 Ukraine 	     17.00 	 2005 est.
106 	 Australia 	     16.10 	 2005 est.
107 	 Russia 	     12.90 	 2005 est.
108 	 Kuwait 	     12.10 	 2005 est.
109 	 Azerbaijan 	     11.30 	 2005 est.
110 	 Nigeria 	     11.00 	 2005 est.
111 	 Latvia 	     10.90 	 2005 est.
112 	 Kazakhstan 	     10.50 	 2005 est.
113 	 Libya 	      8.20 	 2005 est.
114 	 Oman 	      8.10 	 2005 est.
115 	 Chile 	      7.50 	 2005 est.
116 	 Equatorial Guinea 	      6.40 	 
117 	 Botswana 	      6.20 	 2005 est.
118 	 Wallis and Futuna 	      5.60 	 
119 	 Estonia 	      4.80 	 2005 est.
120 	 Hong Kong 	      1.80 	 2005 est.

 This file was last updated on 19 December, 2006
