This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
181 	 Burundi 	       141,400,000 	 2003
182 	 Gambia, The 	       130,200,000 	 2003
183 	 Maldives 	       125,600,000 	 2003
184 	 Rwanda 	       121,100,000 	 2003
185 	 American Samoa 	       120,900,000 	 2003
186 	 Cambodia 	       115,000,000 	 2003
187 	 Belize 	       111,600,000 	 2003
188 	 Chad 	       111,600,000 	 2003
189 	 Samoa 	       107,900,000 	 2003
190 	 Saint Kitts and Nevis 	       103,900,000 	 2003
191 	 Gibraltar 	        98,690,000 	 2003
192 	 Central African Republic 	        98,580,000 	 2003
193 	 Antigua and Barbuda 	        93,000,000 	 2003
194 	 Saint Vincent and the Grenadines 	        88,350,000 	 2003
195 	 Mayotte 	        87,790,000 	 
196 	 Western Sahara 	        83,700,000 	 2003
197 	 Dominica 	        65,090,000 	 2003
198 	 Guinea-Bissau 	        52,080,000 	 2003
199 	 Solomon Islands 	        51,150,000 	 2003
200 	 Anguilla 	        42,600,000 	 
201 	 Cape Verde 	        41,060,000 	 2003
202 	 Saint Pierre and Miquelon 	        41,060,000 	 2003
203 	 Vanuatu 	        38,130,000 	 2003
204 	 Cook Islands 	        34,460,000 	 2005 est.
205 	 British Virgin Islands 	        32,130,000 	 2003
206 	 Tonga 	        31,620,000 	 2003
207 	 Equatorial Guinea 	        27,370,000 	 2003
208 	 Nauru 	        21,390,000 	 2003
209 	 Falkland Islands (Islas Malvinas) 	        20,680,000 	 2003
210 	 Comoros 	        16,740,000 	 2003
211 	 Sao Tome and Principe 	        13,950,000 	 2003
212 	 Kiribati 	        11,160,000 	 2003
213 	 Saint Helena 	         4,650,000 	 2003
214 	 Turks and Caicos Islands 	         4,650,000 	 2003
215 	 Niue 	         2,790,000 	 2003
216 	 Montserrat 	         1,860,000 	 2003

 This file was last updated on 19 December, 2006
