This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
204 	 Burundi 	 $        200,000,000 	 2005 est.
205 	 Gambia, The 	 $        197,000,000 	 2005 est.
206 	 Bhutan 	 $        196,000,000 	 2000 est.
207 	 British Virgin Islands 	 $        187,000,000 	 2002 est.
208 	 Guinea-Bissau 	 $        176,000,000 	 2004 est.
209 	 Turks and Caicos Islands 	 $        175,600,000 	 2000
210 	 Solomon Islands 	 $        159,000,000 	 2004 est.
211 	 Micronesia, Federated States of 	 $        132,700,000 	 2004
212 	 Anguilla 	 $        129,900,000 	 2005 est.
213 	 Tonga 	 $        122,000,000 	 2004 est.
214 	 Vanuatu 	 $        117,100,000 	 2004 est.
215 	 Comoros 	 $        115,000,000 	 2004 est.
216 	 Palau 	 $        107,300,000 	 2004 est.
217 	 Falkland Islands (Islas Malvinas) 	 $         90,000,000 	 2004 est.
218 	 Cook Islands 	 $         81,040,000 	 2005
219 	 Saint Pierre and Miquelon 	 $         70,000,000 	 2004 est.
220 	 Kiribati 	 $         62,000,000 	 2004 est.
221 	 Wallis and Futuna 	 $         61,170,000 	 2004
222 	 Marshall Islands 	 $         54,700,000 	 2000
223 	 Saint Helena 	 $         45,000,000 	 2004 est.
224 	 Sao Tome and Principe 	 $         38,000,000 	 2005 est.
225 	 Nauru 	 $         20,000,000 	 2004 est.
226 	 Norfolk Island 	 $         17,900,000 	 FY91/92
227 	 Montserrat 	 $         17,000,000 	 2001
228 	 Tuvalu 	 $          9,186,000 	 2004 est.
229 	 Niue 	 $          9,038,000 	 2004
230 	 Tokelau 	 $           969,200 	 2002

 This file was last updated on 19 December, 2006
