This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
97 	 Georgia 	          522,300 	 2003
98 	 Reunion 	          489,800 	 2002
99 	 West Bank 	          480,000 	 2003
100 	 Luxembourg 	          473,000 	 2002
101 	 Oman 	          464,900 	 2002
102 	 Mauritius 	          462,400 	 2003
103 	 Bahrain 	          443,100 	 2003
104 	 Botswana 	          435,000 	 2002
105 	 Mozambique 	          428,900 	 2003
106 	 Cyprus 	          417,900 	 
107 	 Yemen 	          411,100 	 2002
108 	 Syria 	          400,000 	 2002
109 	 Cambodia 	          380,000 	 2002
110 	 Zimbabwe 	          379,100 	 2003
111 	 Qatar 	          376,500 	 2003
112 	 Macedonia 	          365,300 	 2002
113 	 Macau 	          364,000 	 2003
114 	 Trinidad and Tobago 	          361,900 	 2002
115 	 Moldova 	          338,200 	 2002
116 	 Congo, Republic of the 	          330,000 	 2003
117 	 Honduras 	          326,500 	 2002
118 	 Guadeloupe 	          323,500 	 2002
119 	 Uzbekistan 	          320,800 	 2003
120 	 Gaza Strip 	          320,000 	 2002
121 	 Martinique 	          319,900 	 2002
122 	 Gabon 	          300,000 	 2003
123 	 Mauritania 	          300,000 	 2003
124 	 Malta 	          290,000 	 2003
125 	 Madagascar 	          279,500 	 2003
126 	 Iceland 	          279,100 	 2003
127 	 Mali 	          250,000 	 2003
128 	 Zambia 	          241,000 	 2003
129 	 Benin 	          236,200 	 2003
130 	 Burkina Faso 	          227,000 	 2003
131 	 Namibia 	          223,700 	 2003
132 	 Togo 	          220,000 	 2003
133 	 Mongolia 	          216,000 	 2002
134 	 Nicaragua 	          202,800 	 2002
135 	 Suriname 	          168,100 	 2003
136 	 Cyprus 	          143,178 	 
137 	 Barbados 	          140,000 	 2003
138 	 Haiti 	          140,000 	 2002
139 	 French Guiana 	          138,200 	 2002
140 	 Brunei 	          137,000 	 2002
141 	 Malawi 	          135,100 	 2003
142 	 Rwanda 	          134,000 	 2003
143 	 Angola 	          130,000 	 2002
144 	 Bahamas, The 	          121,800 	 2002
145 	 Armenia 	          114,400 	 2003
146 	 Guinea 	          111,500 	 2003
147 	 Fiji 	          109,900 	 2003
148 	 Gambia, The 	          100,000 	 2002
149 	 Libya 	          100,000 	 2003
150 	 Ethiopia 	           97,800 	 2003
151 	 Lesotho 	           92,000 	 2002
152 	 French Polynesia 	           90,000 	 2002
153 	 Swaziland 	           88,000 	 2003
154 	 Guyana 	           87,300 	 2002
155 	 Netherlands Antilles 	           81,000 	 2001
156 	 New Caledonia 	           80,000 	 2002
157 	 Sierra Leone 	           67,000 	 2002
158 	 Burma 	           66,500 	 2003
159 	 Chad 	           65,000 	 2003
160 	 Burundi 	           64,000 	 2003
161 	 Jersey 	           61,400 	 2001
162 	 Belize 	           60,400 	 2003
163 	 Laos 	           55,200 	 2002
164 	 Seychelles 	           54,500 	 2003
165 	 Cape Verde 	           53,300 	 2003
166 	 Kyrgyzstan 	           53,100 	 2002
167 	 Aruba 	           53,000 	 2001
168 	 Turkmenistan 	           52,000 	 2004
169 	 Nepal 	           50,400 	 2003
170 	 Tajikistan 	           47,600 	 2003
171 	 Maldives 	           41,900 	 2002
172 	 Equatorial Guinea 	           41,500 	 2003
173 	 Virgin Islands 	           41,000 	 2002
174 	 Antigua and Barbuda 	           38,200 	 2002
175 	 Bermuda 	           37,873 	 2003
176 	 Somalia 	           35,000 	 2002
177 	 Guam 	           32,600 	 2001
178 	 Guernsey 	           31,500 	 2001
179 	 Faroe Islands 	           30,700 	 2002
180 	 Niger 	           24,000 	 2003
181 	 Andorra 	           23,500 	 2001
182 	 Djibouti 	           23,000 	 2003
183 	 Mayotte 	           21,700 	 2002
184 	 Iraq 	           20,000 	 2002
185 	 Monaco 	           19,300 	 2002
186 	 Cuba 	           17,900 	 2002
187 	 Cayman Islands 	           17,000 	 2002
188 	 San Marino 	           16,800 	 2002
189 	 Greenland 	           16,747 	 2001
190 	 Afghanistan 	           15,000 	 2002
191 	 Papua New Guinea 	           15,000 	 2002
192 	 Saint Lucia 	           14,300 	 2002
193 	 Central African Republic 	           13,000 	 2003
194 	 Liechtenstein 	           11,400 	 2002
195 	 Saint Vincent and the Grenadines 	           10,000 	 2002
196 	 Gibraltar 	            9,797 	 2002
197 	 Dominica 	            9,400 	 2002
198 	 Bhutan 	            8,000 	 2003
199 	 British Virgin Islands 	            8,000 	 2002
200 	 Vanuatu 	            7,800 	 2003
201 	 Grenada 	            7,600 	 2002
202 	 Saint Kitts and Nevis 	            5,000 	 2002
203 	 Sao Tome and Principe 	            4,800 	 2003
204 	 Tonga 	            3,400 	 2002
205 	 Northern Mariana Islands 	            3,000 	 2000
206 	 Samoa 	            2,700 	 2002
207 	 American Samoa 	            2,377 	 1999
208 	 Comoros 	            2,000 	 2003
209 	 Liberia 	            2,000 	 2001
210 	 Anguilla 	            1,800 	 2002
211 	 Micronesia, Federated States of 	            1,800 	 2002
212 	 Turks and Caicos Islands 	            1,700 	 1999
213 	 Cook Islands 	            1,500 	 2002
214 	 Nauru 	            1,500 	 2002
215 	 Guinea-Bissau 	            1,300 	 2003
216 	 Solomon Islands 	            1,000 	 2002
217 	 Palau 	            1,000 	 2002
218 	 Marshall Islands 	             600 	 2002
219 	 Kiribati 	             500 	 2002
220 	 Niue 	             400 	 2002
221 	 Montserrat 	              70 	 1994
222 	 Falkland Islands (Islas Malvinas) 	               0 	 2001
223 	 Western Sahara 	               0 	 1999
224 	 Wallis and Futuna 	               0 	 1994
225 	 Tuvalu 	               0 	 1994
226 	 Tokelau 	               0 	 2001
227 	 Saint Helena 	               0 	 1997
228 	 Saint Pierre and Miquelon 	               0 	 1994
229 	 Norfolk Island 	               0 	 2002

 This file was last updated on 10 February, 2005
