This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - production(cu m) 	 Date of Information
97 	 Slovenia 	               0 	 2001 est.
98 	 Puerto Rico 	               0 	 2001 est.
99 	 Portugal 	               0 	 2001 est.
100 	 Moldova 	               0 	 2001 est.
101 	 Luxembourg 	               0 	 2001 est.
102 	 Lithuania 	               0 	 2001 est.
103 	 Korea, South 	               0 	 2001 est.
104 	 Hong Kong 	               0 	 2001 est.
105 	 Finland 	               0 	 2001 est.
106 	 Belgium 	               0 	 2001 est.
107 	 Cameroon 	               0 	 2001 est.
108 	 Congo, Republic of the 	               0 	 2001 est.
109 	 Bosnia and Herzegovina 	               0 	 2001 est.

 This file was last updated on 10 February, 2005
