This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Market value of publicly traded shares 	 Date of Information
59 	 New Zealand 	  40,620,000,000.00 	 2005
60 	 Nigeria 	  32,820,000,000.00 	 2006
61 	 Jordan 	  29,730,000,000.00 	 2006
62 	 Croatia 	  29,010,000,000.00 	 2006
63 	 Iceland 	  27,800,000,000.00 	 2005
64 	 Zimbabwe 	  26,560,000,000.00 	 2006
65 	 Bahrain 	  21,120,000,000.00 	 2006
66 	 Oman 	  16,160,000,000.00 	 2006
67 	 Trinidad and Tobago 	  15,570,000,000.00 	 2006
68 	 Slovenia 	  15,180,000,000.00 	 2006
69 	 Ghana 	  13,010,000,000.00 	 2007
70 	 Jamaica 	  12,280,000,000.00 	 2006
71 	 Kenya 	  11,380,000,000.00 	 2006
72 	 Kazakhstan 	  10,520,000,000.00 	 2005
73 	 Bulgaria 	  10,320,000,000.00 	 2006
74 	 Lithuania 	  10,190,000,000.00 	 2006
75 	 Lebanon 	   8,279,000,000.00 	 2006
76 	 Venezuela 	   8,251,000,000.00 	 2006
77 	 Sri Lanka 	   7,769,000,000.00 	 2006
78 	 Estonia 	   5,963,000,000.00 	 2006
79 	 Mauritius 	   5,700,000,000.00 	 2007
80 	 Slovakia 	   5,574,000,000.00 	 2006
81 	 Barbados 	   5,513,000,000.00 	 2005
82 	 Serbia 	   5,409,000,000.00 	 2005
83 	 Panama 	   5,074,000,000.00 	 2005
84 	 Papua New Guinea 	   4,863,000,000.00 	 2005
85 	 Zambia 	   4,500,000,000.00 	 2007
86 	 West Bank 	   4,461,000,000.00 	 2005
87 	 Tunisia 	   4,446,000,000.00 	 2006
88 	 Cote d'Ivoire 	   4,155,000,000.00 	 2006
89 	 Malta 	   4,097,000,000.00 	 2005
90 	 Ecuador 	   4,040,000,000.00 	 2006
91 	 Botswana 	   3,947,000,000.00 	 2006
92 	 El Salvador 	   3,623,000,000.00 	 2005
93 	 Bangladesh 	   3,610,000,000.00 	 2006
94 	 Latvia 	   2,705,000,000.00 	 2006
95 	 Bolivia 	   2,200,000,000.00 	 2005
96 	 Bermuda 	   2,125,000,000.00 	 2005
97 	 Costa Rica 	   1,478,000,000.00 	 2005
98 	 Georgia 	   1,390,000,000.00 	 2007
99 	 Nepal 	    963,500,000.00 	 2005
100 	 Macedonia 	    646,000,000.00 	 2005
101 	 Mongolia 	    613,300,000.00 	 2007
102 	 Tanzania 	    587,900,000.00 	 2005
103 	 Fiji 	    586,700,000.00 	 2005
104 	 Moldova 	    573,900,000.00 	 2004
105 	 Namibia 	    541,800,000.00 	 2006
106 	 Macau 	    413,100,000.00 	 2004
107 	 Paraguay 	    233,800,000.00 	 2005
108 	 Uruguay 	    224,000,000.00 	 2007
109 	 Swaziland 	    196,800,000.00 	 2005
110 	 Guyana 	    187,300,000.00 	 2005
111 	 Cayman Islands 	    130,000,000.00 	 2005
112 	 Uganda 	    103,400,000.00 	 2005
113 	 Armenia 	     42,800,000.00 	 2005
114 	 Kyrgyzstan 	     41,990,000.00 	 2005
115 	 Uzbekistan 	     36,890,000.00 	 2005

 This file was last updated on 18 December, 2008
