This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - consumption(cu m) 	 Date of Information
128 	 Turks and Caicos Islands 	               0 	 2003 est.
129 	 Sudan 	               0 	 2003 est.
130 	 Saint Lucia 	               0 	 2003 est.
131 	 Somalia 	               0 	 2003 est.
132 	 Sierra Leone 	               0 	 2003 est.
133 	 Saint Helena 	               0 	 2003 est.
134 	 Seychelles 	               0 	 2003 est.
135 	 Saint Kitts and Nevis 	               0 	 2003 est.
136 	 Saint Pierre and Miquelon 	               0 	 2003 est.
137 	 Netherlands Antilles 	               0 	 2003 est.
138 	 Suriname 	               0 	 2003 est.
139 	 Nauru 	               0 	 2003 est.
140 	 Nepal 	               0 	 2003 est.
141 	 Vanuatu 	               0 	 2003 est.
142 	 Niger 	               0 	 2003 est.
143 	 Niue 	               0 	 2003 est.
144 	 New Caledonia 	               0 	 2003 est.
145 	 Mali 	               0 	 2003 est.
146 	 Rwanda 	               0 	 2003 est.
147 	 Reunion 	               0 	 2003 est.
148 	 Guinea-Bissau 	               0 	 2003 est.
149 	 Panama 	               0 	 2003 est.
150 	 Paraguay 	               0 	 2003 est.
151 	 Nicaragua 	               0 	 2003 est.
152 	 Macedonia 	               0 	 2003 est.
153 	 Malawi 	               0 	 2003 est.
154 	 Montserrat 	               0 	 2003 est.
155 	 Mongolia 	               0 	 2003 est.
156 	 Macau 	               0 	 2003 est.
157 	 Martinique 	               0 	 2003 est.
158 	 Madagascar 	               0 	 2003 est.
159 	 Lesotho 	               0 	 2003 est.
160 	 Maldives 	               0 	 2003 est.
161 	 Malta 	               0 	 2003 est.
162 	 Mauritania 	               0 	 2003 est.
163 	 Mauritius 	               0 	 2003 est.
164 	 Liberia 	               0 	 2003 est.
165 	 Lebanon 	               0 	 2003 est.
166 	 Laos 	               0 	 2003 est.
167 	 Kiribati 	               0 	 2003 est.
168 	 Korea, North 	               0 	 2003 est.
169 	 Kenya 	               0 	 2003 est.
170 	 Jamaica 	               0 	 2003 est.
171 	 Guyana 	               0 	 2003 est.
172 	 Guinea 	               0 	 2003 est.
173 	 Guatemala 	               0 	 2003 est.
174 	 Guam 	               0 	 2003 est.
175 	 Guadeloupe 	               0 	 2003 est.
176 	 Greenland 	               0 	 2003 est.
177 	 Grenada 	               0 	 2003 est.
178 	 Gibraltar 	               0 	 2003 est.
179 	 Ghana 	               0 	 2003 est.
180 	 Iceland 	               0 	 2003 est.
181 	 Honduras 	               0 	 2003 est.
182 	 Haiti 	               0 	 2003 est.
183 	 Gambia, The 	               0 	 2003 est.
184 	 French Polynesia 	               0 	 2003 est.
185 	 Faroe Islands 	               0 	 2003 est.
186 	 Falkland Islands (Islas Malvinas) 	               0 	 2003 est.
187 	 Fiji 	               0 	 2003 est.
188 	 French Guiana 	               0 	 2003 est.
189 	 Ethiopia 	               0 	 2003 est.
190 	 El Salvador 	               0 	 2003 est.
191 	 Eritrea 	               0 	 2003 est.
192 	 Dominica 	               0 	 2003 est.
193 	 Djibouti 	               0 	 2003 est.
194 	 Cyprus 	               0 	 2003 est.
195 	 Cook Islands 	               0 	 2003 est.
196 	 Cape Verde 	               0 	 2003 est.
197 	 Central African Republic 	               0 	 2003 est.
198 	 Costa Rica 	               0 	 2003 est.
199 	 Comoros 	               0 	 2003 est.
200 	 Cameroon 	               0 	 2003 est.
201 	 Cayman Islands 	               0 	 2003 est.
202 	 Congo, Democratic Republic of the 	               0 	 2003 est.
203 	 Congo, Republic of the 	               0 	 2003 est.
204 	 Sri Lanka 	               0 	 2003 est.
205 	 Chad 	               0 	 2003 est.
206 	 Cambodia 	               0 	 2003 est.
207 	 Bhutan 	               0 	 2003 est.
208 	 Benin 	               0 	 2003 est.
209 	 Belize 	               0 	 2003 est.
210 	 Bermuda 	               0 	 2003 est.
211 	 American Samoa 	               0 	 2003 est.
212 	 Botswana 	               0 	 2003 est.
213 	 Antigua and Barbuda 	               0 	 2003 est.

 This file was last updated on 19 December, 2006
