This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
142 	 Guatemala 	     69.38 	 2006 est.
143 	 Honduras 	     69.33 	 2006 est.
144 	 Belarus 	     69.08 	 2006 est.
145 	 Iraq 	     69.01 	 2006 est.
146 	 Suriname 	     69.01 	 2006 est.
147 	 Kyrgyzstan 	     68.49 	 2006 est.
148 	 Tuvalu 	     68.32 	 2006 est.
149 	 Belize 	     68.30 	 2006 est.
150 	 Sao Tome and Principe 	     67.31 	 2006 est.
151 	 Russia 	     67.08 	 2006 est.
152 	 Kazakhstan 	     66.89 	 2006 est.
153 	 Trinidad and Tobago 	     66.76 	 2006 est.
154 	 East Timor 	     66.26 	 2006 est.
155 	 Guyana 	     65.86 	 2006 est.
156 	 Bolivia 	     65.84 	 2006 est.
157 	 Moldova 	     65.65 	 2006 est.
158 	 Bahamas, The 	     65.60 	 2006 est.
159 	 Papua New Guinea 	     65.28 	 2006 est.
160 	 Tajikistan 	     64.94 	 2006 est.
161 	 Mongolia 	     64.89 	 2006 est.
162 	 Grenada 	     64.87 	 2006 est.
163 	 World 	     64.77 	 2006 est.
164 	 India 	     64.71 	 2006 est.
165 	 Uzbekistan 	     64.58 	 2006 est.
166 	 Maldives 	     64.41 	 2006 est.
167 	 Azerbaijan 	     63.85 	 2006 est.
168 	 Pakistan 	     63.39 	 2006 est.
169 	 Nauru 	     63.08 	 2006 est.
170 	 Vanuatu 	     62.85 	 2006 est.
171 	 Bangladesh 	     62.46 	 2006 est.
172 	 Comoros 	     62.33 	 2006 est.
173 	 Yemen 	     62.12 	 2006 est.
174 	 Kiribati 	     62.08 	 2006 est.
175 	 Turkmenistan 	     61.83 	 2006 est.
176 	 Mayotte 	     61.76 	 2006 est.
177 	 Burma 	     60.97 	 2006 est.
178 	 Nepal 	     60.18 	 2006 est.
179 	 Cambodia 	     59.29 	 2006 est.
180 	 Senegal 	     59.25 	 2006 est.
181 	 Eritrea 	     59.03 	 2006 est.
182 	 Sudan 	     58.92 	 2006 est.
183 	 Ghana 	     58.87 	 2006 est.
184 	 Togo 	     57.42 	 2006 est.
185 	 Madagascar 	     57.34 	 2006 est.
186 	 Laos 	     55.49 	 2006 est.
187 	 Bhutan 	     54.78 	 2006 est.
188 	 Gabon 	     54.49 	 2006 est.
189 	 Gambia, The 	     54.14 	 2006 est.
190 	 Haiti 	     53.23 	 2006 est.
191 	 Mauritania 	     53.12 	 2006 est.
192 	 Benin 	     53.04 	 2006 est.
193 	 Congo, Republic of the 	     52.80 	 2006 est.
194 	 Uganda 	     52.67 	 2006 est.
195 	 Congo, Democratic Republic of the 	     51.46 	 2006 est.
196 	 Cameroon 	     51.16 	 2006 est.
197 	 Burundi 	     50.81 	 2006 est.
198 	 Equatorial Guinea 	     49.54 	 2006 est.
199 	 Guinea 	     49.50 	 2006 est.
200 	 Ethiopia 	     49.03 	 2006 est.
201 	 Mali 	     49.00 	 2006 est.
202 	 Kenya 	     48.93 	 2006 est.
203 	 Burkina Faso 	     48.85 	 2006 est.
204 	 Cote d'Ivoire 	     48.82 	 2006 est.
205 	 Somalia 	     48.47 	 2006 est.
206 	 Chad 	     47.52 	 2006 est.
207 	 Rwanda 	     47.30 	 2006 est.
208 	 Nigeria 	     47.08 	 2006 est.
209 	 Guinea-Bissau 	     46.87 	 2006 est.
210 	 Tanzania 	     45.64 	 2006 est.
211 	 Niger 	     43.76 	 2006 est.
212 	 Central African Republic 	     43.54 	 2006 est.
213 	 Namibia 	     43.39 	 2006 est.
214 	 Afghanistan 	     43.34 	 2006 est.
215 	 Djibouti 	     43.17 	 2006 est.
216 	 South Africa 	     42.73 	 2006 est.
217 	 Malawi 	     41.70 	 2006 est.
218 	 Sierra Leone 	     40.22 	 2006 est.
219 	 Zambia 	     40.03 	 2006 est.
220 	 Mozambique 	     39.82 	 2006 est.
221 	 Liberia 	     39.65 	 2006 est.
222 	 Zimbabwe 	     39.29 	 2006 est.
223 	 Angola 	     38.62 	 2006 est.
224 	 Lesotho 	     34.40 	 2006 est.
225 	 Botswana 	     33.74 	 2006 est.
226 	 Swaziland 	     32.62 	 2006 est.

 This file was last updated on 19 December, 2006
