This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Current account balance 	 Date of Information
127 	 Jamaica 	 $       -974,000,000 	 2005 est.
128 	 Pakistan 	 $      -1,109,000,000 	 2005 est.
129 	 Guatemala 	 $      -1,341,000,000 	 2005 est.
130 	 Estonia 	 $      -1,375,000,000 	 2005 est.
131 	 Kenya 	 $      -1,543,000,000 	 2005 est.
132 	 Jordan 	 $      -1,613,000,000 	 2005 est.
133 	 Lithuania 	 $      -1,771,000,000 	 2005
134 	 Colombia 	 $      -1,931,000,000 	 2005 est.
135 	 Latvia 	 $      -1,959,000,000 	 2005 est.
136 	 Bosnia and Herzegovina 	 $      -2,087,000,000 	 2005 est.
137 	 Serbia 	 $      -2,451,000,000 	 2005 est.
138 	 Czech Republic 	 $      -2,496,000,000 	 2005 est.
139 	 Croatia 	 $      -2,541,000,000 	 2005 est.
140 	 Iceland 	 $      -2,607,000,000 	 2005 est.
141 	 Sudan 	 $      -3,013,000,000 	 2005 est.
142 	 Thailand 	 $      -3,689,000,000 	 2005 est.
143 	 Ireland 	 $      -3,833,000,000 	 2005 est.
144 	 Bulgaria 	 $      -3,919,000,000 	 2005
145 	 Slovakia 	 $      -4,066,000,000 	 2005 est.
146 	 Lebanon 	 $      -4,239,000,000 	 2005 est.
147 	 Poland 	 $      -4,364,000,000 	 2005 est.
148 	 Mexico 	 $      -5,708,000,000 	 2005 est.
149 	 Hungary 	 $      -7,963,000,000 	 2005 est.
150 	 Romania 	 $      -8,200,000,000 	 2005
151 	 Iraq 	 $      -9,447,000,000 	 2004 est.
152 	 New Zealand 	 $      -9,688,000,000 	 2005 est.
153 	 South Africa 	 $     -11,080,000,000 	 2005 est.
154 	 India 	 $     -12,950,000,000 	 2005 est.
155 	 Portugal 	 $     -17,100,000,000 	 2005 est.
156 	 Greece 	 $     -17,860,000,000 	 2005 est.
157 	 Turkey 	 $     -23,080,000,000 	 2005 est.
158 	 Italy 	 $     -26,380,000,000 	 2005 est.
159 	 France 	 $     -38,780,000,000 	 2005 est.
160 	 Australia 	 $     -42,090,000,000 	 2005 est.
161 	 United Kingdom 	 $     -57,610,000,000 	 2005 est.
162 	 Spain 	 $     -83,140,000,000 	 2005 est.
163 	 United States 	 $    -829,100,000,000 	 2005 est.

 This file was last updated on 19 December, 2006
