This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
144 	 Martinique 	          319,900 	 2002
145 	 Guadeloupe 	          314,700 	 2004
146 	 Iceland 	          304,000 	 2005
147 	 Niger 	          299,900 	 2005
148 	 Rwanda 	          290,000 	 2005
149 	 Guyana 	          281,400 	 2005
150 	 Tajikistan 	          265,000 	 2005
151 	 Nepal 	          248,800 	 2005
152 	 Gambia, The 	          247,500 	 2005
153 	 Lesotho 	          245,100 	 2005
154 	 Libya 	          234,800 	 2004
155 	 Suriname 	          232,800 	 2005
156 	 Chad 	          210,000 	 2005
157 	 Barbados 	          206,200 	 2005
158 	 Brunei 	          205,900 	 2004
159 	 Netherlands Antilles 	          200,000 	 2004
160 	 Swaziland 	          200,000 	 2005
161 	 Guinea 	          189,000 	 2005
162 	 Bahamas, The 	          186,000 	 2004
163 	 Burma 	          183,400 	 2005
164 	 Liberia 	          160,000 	 2005
165 	 Maldives 	          153,400 	 2005
166 	 Burundi 	          153,000 	 2005
167 	 Cyprus 	          143,178 	 
168 	 Fiji 	          142,200 	 2004
169 	 Cuba 	          134,500 	 2005
170 	 New Caledonia 	          134,300 	 2005
171 	 Sierra Leone 	          113,200 	 2003
172 	 Aruba 	           98,400 	 2004
173 	 French Guiana 	           98,000 	 2004
174 	 Guam 	           98,000 	 2004
175 	 Equatorial Guinea 	           96,900 	 2005
176 	 Belize 	           93,100 	 2005
177 	 Saint Lucia 	           93,000 	 2004
178 	 French Polynesia 	           87,000 	 2005
179 	 Jersey 	           83,900 	 2004
180 	 Cape Verde 	           81,700 	 2005
181 	 Saint Vincent and the Grenadines 	           70,600 	 2005
182 	 Guinea-Bissau 	           67,000 	 2005
183 	 Andorra 	           64,600 	 2005
184 	 Virgin Islands 	           64,200 	 2004
185 	 Central African Republic 	           60,000 	 2004
186 	 Seychelles 	           57,000 	 2005
187 	 Antigua and Barbuda 	           54,000 	 2004
188 	 Turkmenistan 	           52,000 	 2004
189 	 Bermuda 	           49,000 	 2004
190 	 Mayotte 	           48,100 	 2004
191 	 Guernsey 	           43,800 	 2004
192 	 Grenada 	           43,300 	 2004
193 	 Faroe Islands 	           42,500 	 2005
194 	 Dominica 	           41,800 	 2004
195 	 Eritrea 	           40,400 	 2005
196 	 Bhutan 	           37,800 	 2005
197 	 Djibouti 	           34,500 	 2004
198 	 Greenland 	           32,200 	 2004
199 	 Papua New Guinea 	           26,000 	 2005
200 	 Samoa 	           24,000 	 2005
201 	 Northern Mariana Islands 	           20,500 	 2004
202 	 Monaco 	           19,300 	 2002
203 	 Cayman Islands 	           17,000 	 2002
204 	 San Marino 	           16,800 	 2002
205 	 Tonga 	           16,400 	 2004
206 	 Comoros 	           16,100 	 2005
207 	 Micronesia, Federated States of 	           14,100 	 2005
208 	 Vanuatu 	           12,700 	 2005
209 	 Sao Tome and Principe 	           12,000 	 2005
210 	 Liechtenstein 	           11,400 	 2002
211 	 Saint Kitts and Nevis 	           10,000 	 2004
212 	 Gibraltar 	            9,797 	 2002
213 	 British Virgin Islands 	            8,000 	 2002
214 	 Solomon Islands 	            6,000 	 2005
215 	 American Samoa 	            2,377 	 1999
216 	 Anguilla 	            1,800 	 2002
217 	 Turks and Caicos Islands 	            1,700 	 1999
218 	 Cook Islands 	            1,500 	 2002
219 	 Nauru 	            1,500 	 2002
220 	 Marshall Islands 	            1,198 	 2004
221 	 Palau 	            1,000 	 2002
222 	 Kiribati 	             600 	 2004
223 	 Niue 	             400 	 2002
224 	 Montserrat 	              70 	 1994
225 	 Falkland Islands (Islas Malvinas) 	               0 	 2001
226 	 Western Sahara 	               0 	 1999
227 	 Wallis and Futuna 	               0 	 1994
228 	 Norfolk Island 	               0 	 2002
229 	 Tuvalu 	               0 	 2004
230 	 Tokelau 	               0 	 2001

 This file was last updated on 19 December, 2006
