This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Investment (gross fixed)(% of GDP) 	 Date of Information
116 	 Israel 	     17.50 	 2005 est.
117 	 Cameroon 	     17.30 	 2005 est.
118 	 Guinea 	     17.30 	 2005 est.
119 	 Egypt 	     17.20 	 2005 est.
120 	 Germany 	     17.10 	 2005 est.
121 	 Kenya 	     17.00 	 2005 est.
122 	 Sweden 	     17.00 	 2005 est.
123 	 South Africa 	     16.80 	 2005 est.
124 	 United States 	     16.70 	 2005 est.
125 	 United Kingdom 	     16.60 	 2005 est.
126 	 Panama 	     16.50 	 2005 est.
127 	 Saudi Arabia 	     16.30 	 2005 est.
128 	 Sudan 	     16.30 	 2005 est.
129 	 El Salvador 	     15.80 	 2005 est.
130 	 Guatemala 	     15.60 	 2005 est.
131 	 Philippines 	     15.50 	 2005 est.
132 	 Pakistan 	     15.30 	 2005 est.
133 	 Oman 	     14.80 	 2005 est.
134 	 Kuwait 	     14.30 	 2005 est.
135 	 Serbia 	     14.20 	 2005 est.
136 	 Yemen 	     14.20 	 2005 est.
137 	 Uruguay 	     12.90 	 2005 est.
138 	 Kyrgyzstan 	     12.60 	 2005 est.
139 	 Bolivia 	     12.50 	 2005 est.
140 	 Burundi 	     11.60 	 2005 est.
141 	 Burma 	     11.50 	 2005 est.
142 	 Cuba 	     11.50 	 2005 est.
143 	 Libya 	     11.40 	 2005 est.
144 	 Swaziland 	     10.60 	 2005 est.
145 	 Malawi 	     10.20 	 2005 est.
146 	 Cote d'Ivoire 	      8.60 	 2005 est.
147 	 Zimbabwe 	      7.90 	 2005 est.

 This file was last updated on 19 December, 2006
