This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet users 	 Date of Information
69 	 Kenya 	         1,054,900 	 2005
70 	 Latvia 	         1,030,000 	 2005
71 	 Costa Rica 	         1,000,000 	 2005
72 	 Zimbabwe 	         1,000,000 	 2005
73 	 Puerto Rico 	         1,000,000 	 2005
74 	 Tunisia 	          953,800 	 2005
75 	 Dominican Republic 	          938,300 	 2005
76 	 Uzbekistan 	          880,000 	 2005
77 	 Bosnia and Herzegovina 	          806,400 	 2005
78 	 Guatemala 	          756,000 	 2005
79 	 Kuwait 	          700,000 	 2005
80 	 Lebanon 	          700,000 	 2005
81 	 Estonia 	          690,000 	 2005
82 	 Uruguay 	          680,000 	 2005
83 	 Azerbaijan 	          678,800 	 2005
84 	 El Salvador 	          637,100 	 2005
85 	 Jordan 	          629,500 	 2005
86 	 Ecuador 	          616,000 	 2005
87 	 Senegal 	          540,000 	 2005
88 	 Haiti 	          500,000 	 2005
89 	 Uganda 	          500,000 	 2005
90 	 Bolivia 	          480,000 	 2005
91 	 Benin 	          425,000 	 2005
92 	 Moldova 	          406,000 	 2005
93 	 Ghana 	          401,300 	 2005
94 	 Kazakhstan 	          400,000 	 2005
95 	 Macedonia 	          392,671 	 2005
96 	 Tanzania 	          333,000 	 2005
97 	 Luxembourg 	          315,000 	 2005
98 	 Bangladesh 	          300,000 	 2005
99 	 Panama 	          300,000 	 2005
100 	 Togo 	          300,000 	 2005
101 	 Cyprus 	          298,000 	 2005
102 	 Sri Lanka 	          280,000 	 2005
103 	 Kyrgyzstan 	          280,000 	 2005
104 	 Mongolia 	          268,300 	 2005
105 	 Iceland 	          258,000 	 2005
106 	 Oman 	          245,000 	 2005
107 	 Gaza Strip 	          243,000 	 2005
108 	 West Bank 	          243,000 	 2005
109 	 Zambia 	          231,000 	 2005
110 	 Honduras 	          223,000 	 2005
111 	 Yemen 	          220,000 	 2005
112 	 Qatar 	          219,000 	 2005
113 	 Libya 	          205,000 	 2005
114 	 Macau 	          201,000 	 2004
115 	 Paraguay 	          200,000 	 2005
116 	 Reunion 	          200,000 	 2005
117 	 Cuba 	          190,000 	 2005
118 	 Mauritius 	          180,000 	 2005
119 	 Georgia 	          175,600 	 2005
120 	 Nepal 	          175,000 	 2005
121 	 Angola 	          172,000 	 2005
122 	 Papua New Guinea 	          170,000 	 2005
123 	 Cameroon 	          167,000 	 2005
124 	 Barbados 	          160,000 	 2005
125 	 Guyana 	          160,000 	 2005
126 	 Trinidad and Tobago 	          160,000 	 2005
127 	 Cote d'Ivoire 	          160,000 	 2005
128 	 Bahrain 	          152,700 	 2005
129 	 Armenia 	          150,000 	 2005
130 	 Congo, Democratic Republic of the 	          140,600 	 2005
131 	 Nicaragua 	          140,000 	 2005
132 	 Mozambique 	          138,000 	 2005
133 	 Malta 	          127,200 	 2005
134 	 Ethiopia 	          113,000 	 2005
135 	 Martinique 	          107,000 	 2005
136 	 Bahamas, The 	           93,000 	 2005
137 	 Madagascar 	           90,000 	 2005
138 	 Somalia 	           90,000 	 2005
139 	 Guadeloupe 	           79,000 	 2005
140 	 Guam 	           79,000 	 2004
141 	 Burma 	           78,000 	 2005
142 	 New Caledonia 	           76,000 	 2005
143 	 Albania 	           75,000 	 2005
144 	 Namibia 	           75,000 	 2005
145 	 Eritrea 	           70,000 	 2005
146 	 Gabon 	           67,000 	 2005
147 	 Burkina Faso 	           64,600 	 2005
148 	 Fiji 	           61,000 	 2004
149 	 Botswana 	           60,000 	 2002
150 	 Mali 	           60,000 	 2005
151 	 Brunei 	           56,000 	 2005
152 	 French Polynesia 	           55,000 	 2005
153 	 Saint Lucia 	           55,000 	 2005
154 	 Malawi 	           52,500 	 2005
155 	 Montenegro 	           50,000 	 2004
156 	 Gambia, The 	           49,000 	 2005
157 	 Guinea 	           46,000 	 2005
158 	 Lesotho 	           43,000 	 2005
159 	 Cambodia 	           41,000 	 2005
160 	 Bermuda 	           39,000 	 2005
161 	 French Guiana 	           38,000 	 2005
162 	 Greenland 	           38,000 	 2005
163 	 Rwanda 	           38,000 	 2005
164 	 Congo, Republic of the 	           36,000 	 2005
165 	 Guernsey 	           36,000 	 2005
166 	 Turkmenistan 	           36,000 	 2005
167 	 Swaziland 	           36,000 	 2005
168 	 Iraq 	           36,000 	 2005
169 	 Belize 	           35,000 	 2005
170 	 Chad 	           35,000 	 2005
171 	 Faroe Islands 	           33,000 	 2005
172 	 Afghanistan 	           30,000 	 2005
173 	 Virgin Islands 	           30,000 	 2002
174 	 Suriname 	           30,000 	 2005
175 	 Jersey 	           27,000 	 2005
176 	 Guinea-Bissau 	           26,000 	 2005
177 	 Bhutan 	           25,000 	 2005
178 	 Laos 	           25,000 	 2005
179 	 Cape Verde 	           25,000 	 2005
180 	 Burundi 	           25,000 	 2005
181 	 Aruba 	           24,000 	 2002
182 	 Niger 	           24,000 	 2005
183 	 Andorra 	           21,900 	 2005
184 	 Dominica 	           20,500 	 2005
185 	 Antigua and Barbuda 	           20,000 	 2005
186 	 Sao Tome and Principe 	           20,000 	 2005
187 	 Seychelles 	           20,000 	 2005
188 	 Liechtenstein 	           20,000 	 2002
189 	 Comoros 	           20,000 	 2005
190 	 Grenada 	           19,000 	 2005
191 	 Maldives 	           19,000 	 2005
192 	 Monaco 	           16,000 	 2002
193 	 San Marino 	           14,300 	 2002
194 	 Micronesia, Federated States of 	           14,000 	 2005
195 	 Mauritania 	           14,000 	 2005
196 	 Northern Mariana Islands 	           10,000 	 2003
197 	 Sierra Leone 	           10,000 	 2005
198 	 Saint Kitts and Nevis 	           10,000 	 2002
199 	 Cayman Islands 	            9,909 	 2003
200 	 Central African Republic 	            9,000 	 2005
201 	 Djibouti 	            9,000 	 2005
202 	 Solomon Islands 	            8,400 	 2005
203 	 Saint Vincent and the Grenadines 	            8,000 	 2005
204 	 Vanuatu 	            7,500 	 2004
205 	 Gibraltar 	            6,200 	 2002
206 	 Samoa 	            6,000 	 2004
207 	 Equatorial Guinea 	            5,000 	 2005
208 	 Tajikistan 	            5,000 	 2005
209 	 British Virgin Islands 	            4,000 	 2002
210 	 Cook Islands 	            3,600 	 2002
211 	 Anguilla 	            3,000 	 2002
212 	 Tonga 	            3,000 	 2004
213 	 Kiribati 	            2,000 	 2004
214 	 Netherlands Antilles 	            2,000 	 2000
215 	 Marshall Islands 	            2,000 	 2005
216 	 Falkland Islands (Islas Malvinas) 	            1,900 	 2002
217 	 Tuvalu 	            1,300 	 2002
218 	 Liberia 	            1,000 	 2002
219 	 East Timor 	            1,000 	 2004
220 	 Saint Helena 	            1,000 	 2003
221 	 Niue 	             900 	 2002
222 	 Wallis and Futuna 	             900 	 2002
223 	 Norfolk Island 	             700 	 
224 	 Christmas Island 	             464 	 2001
225 	 Nauru 	             300 	 2002
226 	 Holy See (Vatican City) 	              93 	 2000

 This file was last updated on 19 December, 2006
