This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange and gold 	 Date of Information
72 	 Tunisia 	 $       4,375,000,000 	 2005 est.
73 	 Oman 	 $       4,358,000,000 	 2005 est.
74 	 Lithuania 	 $       3,815,000,000 	 2005
75 	 Guatemala 	 $       3,673,000,000 	 2005 est.
76 	 Angola 	 $       3,197,000,000 	 2005 est.
77 	 Uruguay 	 $       3,079,000,000 	 2005 est.
78 	 Turkmenistan 	 $       2,963,000,000 	 2005 est.
79 	 Bangladesh 	 $       2,825,000,000 	 2005 est.
80 	 Sri Lanka 	 $       2,737,000,000 	 2005 est.
81 	 Uzbekistan 	 $       2,681,000,000 	 2005 est.
82 	 Cuba 	 $       2,618,000,000 	 2005 est.
83 	 Malta 	 $       2,579,000,000 	 2005 est.
84 	 Bosnia and Herzegovina 	 $       2,531,000,000 	 2005 est.
85 	 Sudan 	 $       2,450,000,000 	 2005 est.
86 	 Bahrain 	 $       2,432,000,000 	 2005 est.
87 	 Latvia 	 $       2,361,000,000 	 2005 est.
88 	 Honduras 	 $       2,339,000,000 	 2005 est.
89 	 Costa Rica 	 $       2,313,000,000 	 2005 est.
90 	 Greece 	 $       2,287,000,000 	 2005 est.
91 	 Jamaica 	 $       2,170,000,000 	 2005 est.
92 	 Ecuador 	 $       2,148,000,000 	 2005 est.
93 	 Equatorial Guinea 	 $       2,103,000,000 	 2005 est.
94 	 Tanzania 	 $       2,074,000,000 	 2005 est.
95 	 Estonia 	 $       1,948,000,000 	 2005 est.
96 	 Ghana 	 $       1,897,000,000 	 2005 est.
97 	 Dominican Republic 	 $       1,853,000,000 	 2005 est.
98 	 El Salvador 	 $       1,833,000,000 	 2005 est.
99 	 Kenya 	 $       1,799,000,000 	 2005 est.
100 	 Bolivia 	 $       1,798,000,000 	 2005 est.
101 	 Albania 	 $       1,461,000,000 	 2005 est.
102 	 Cote d'Ivoire 	 $       1,420,000,000 	 2005 est.
103 	 Mauritius 	 $       1,366,000,000 	 2005 est.
104 	 Macedonia 	 $       1,341,000,000 	 2005 est.
105 	 Paraguay 	 $       1,297,000,000 	 2005 est.
106 	 Uganda 	 $       1,286,000,000 	 2005 est.
107 	 Ethiopia 	 $       1,226,000,000 	 2005 est.
108 	 Belarus 	 $       1,215,000,000 	 2005 est.
109 	 Panama 	 $       1,211,000,000 	 2005 est.
110 	 Azerbaijan 	 $       1,192,000,000 	 2005 est.
111 	 Senegal 	 $       1,191,000,000 	 2005 est.
112 	 Cambodia 	 $       1,145,000,000 	 2005 est.
113 	 Iceland 	 $       1,069,000,000 	 2005 est.
114 	 Mozambique 	 $       1,051,000,000 	 2005 est.
115 	 Cameroon 	 $        964,800,000 	 2005 est.
116 	 Ireland 	 $        869,300,000 	 2005 est.
117 	 Burkina Faso 	 $        764,000,000 	 2005 est.
118 	 Burma 	 $        763,000,000 	 2005 est.
119 	 Armenia 	 $        754,900,000 	 2005 est.
120 	 Papua New Guinea 	 $        748,800,000 	 2005 est.
121 	 Nicaragua 	 $        727,800,000 	 2005 est.
122 	 Benin 	 $        676,000,000 	 2005 est.
123 	 Gabon 	 $        675,200,000 	 2005 est.
124 	 Kyrgyzstan 	 $        612,300,000 	 2005 est.
125 	 Moldova 	 $        597,500,000 	 2005 est.
126 	 Lesotho 	 $        573,000,000 	 2005 est.
127 	 Madagascar 	 $        572,000,000 	 2005 est.
128 	 Zambia 	 $        559,800,000 	 2005 est.
129 	 Georgia 	 $        474,200,000 	 2005 est.
130 	 Rwanda 	 $        357,000,000 	 2005 est.
131 	 Togo 	 $        318,000,000 	 2005 est.
132 	 Namibia 	 $        312,100,000 	 2005 est.
133 	 Swaziland 	 $        311,000,000 	 2005 est.
134 	 Chad 	 $        297,000,000 	 2005 est.
135 	 Luxembourg 	 $        279,100,000 	 2005 est.
136 	 Congo, Republic of the 	 $        273,000,000 	 2005 est.
137 	 Guyana 	 $        261,000,000 	 2005 est.
138 	 Laos 	 $        249,000,000 	 2005 est.
139 	 Tajikistan 	 $        186,800,000 	 2005 est.
140 	 Zimbabwe 	 $        160,000,000 	 2005 est.
141 	 Malawi 	 $        151,000,000 	 2005 est.
142 	 Cape Verde 	 $        150,000,000 	 2005 est.
143 	 Burundi 	 $        105,000,000 	 2005 est.
144 	 Haiti 	 $        100,000,000 	 2005 est.
145 	 Belize 	 $         87,000,000 	 2005 est.
146 	 Gambia, The 	 $         82,000,000 	 2005 est.
147 	 Samoa 	 $         70,150,000 	 
148 	 Guinea 	 $         69,830,000 	 2005 est.
149 	 Seychelles 	 $         41,000,000 	 2005 est.
150 	 Tonga 	 $         40,830,000 	 
151 	 Vanuatu 	 $         40,540,000 	 
152 	 Eritrea 	 $         30,000,000 	 2005 est.
153 	 Sao Tome and Principe 	 $         20,000,000 	 2005 est.

 This file was last updated on 19 December, 2006
