This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
191 	 Western Sahara 	        90,000,000 	 2001
192 	 Gambia, The 	        85,330,000 	 2001
193 	 Dominica 	        72,410,000 	 2001
194 	 Guinea-Bissau 	        55,000,000 	 2001
195 	 Vanuatu 	        43,460,000 	 2001
196 	 Cape Verde 	        42,030,000 	 2001
197 	 Saint Pierre and Miquelon 	        42,030,000 	 2001
198 	 British Virgin Islands 	        38,100,000 	 2001
199 	 Solomon Islands 	        32,000,000 	 2001
200 	 Nauru 	        30,000,000 	 2001
201 	 Cook Islands 	        27,430,000 	 2001
202 	 Tonga 	        27,270,000 	 2001
203 	 Namibia 	        26,950,000 	 2001
204 	 Equatorial Guinea 	        23,560,000 	 2001
205 	 Comoros 	        21,270,000 	 2001
206 	 Sao Tome and Principe 	        17,000,000 	 2001
207 	 Falkland Islands (Islas Malvinas) 	        16,330,000 	 2001
208 	 Kiribati 	         7,000,000 	 2001
209 	 Saint Helena 	         5,000,000 	 2001
210 	 Turks and Caicos Islands 	         5,000,000 	 2001
211 	 Niue 	         3,000,000 	 2001
212 	 Montserrat 	         2,500,000 	 2001
213 	 Lesotho 	               0 	 2001

 This file was last updated on 10 February, 2005
