This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
187 	 Cyprus 	 $        301,000,000 	 2003 est.
188 	 Gambia, The 	 $        271,000,000 	 2003 est.
189 	 Saint Lucia 	 $        267,000,000 	 2002 est.
190 	 Sierra Leone 	 $        264,000,000 	 2002 est.
191 	 Rwanda 	 $        245,800,000 	 2003 est.
192 	 East Timor 	 $        237,000,000 	 2001 est.
193 	 Grenada 	 $        208,000,000 	 2002 est.
194 	 Bhutan 	 $        196,000,000 	 2000 est.
195 	 Saint Kitts and Nevis 	 $        195,000,000 	 2002 est.
196 	 British Virgin Islands 	 $        187,000,000 	 2002 est.
197 	 Turks and Caicos Islands 	 $        175,600,000 	 2000
198 	 Saint Vincent and the Grenadines 	 $        174,000,000 	 2002 est.
199 	 Micronesia, Federated States of 	 $        149,000,000 	 FY99/00 est.
200 	 Mayotte 	 $        141,300,000 	 1997
201 	 Vanuatu 	 $        138,000,000 	 2002
202 	 Central African Republic 	 $        136,000,000 	 2002 est.
203 	 Burundi 	 $        128,000,000 	 2003 est.
204 	 American Samoa 	 $        123,000,000 	 2002
205 	 Samoa 	 $        113,000,000 	 2002
206 	 Saint Pierre and Miquelon 	 $        106,000,000 	 2002
207 	 Guinea-Bissau 	 $        104,000,000 	 2002 est.
208 	 Solomon Islands 	 $        100,000,000 	 2002 est.
209 	 Palau 	 $         99,000,000 	 2001 est.
210 	 Dominica 	 $         98,200,000 	 2003 est.
211 	 Comoros 	 $         88,000,000 	 2002 est.
212 	 Tonga 	 $         86,000,000 	 2002 est.
213 	 Kiribati 	 $         83,000,000 	 2002
214 	 Anguilla 	 $         80,900,000 	 1999
215 	 Tuvalu 	 $         79,000,000 	 2002
216 	 Marshall Islands 	 $         54,000,000 	 2000
217 	 Falkland Islands (Islas Malvinas) 	 $         53,000,000 	 2002
218 	 Cook Islands 	 $         50,700,000 	 2000
219 	 Saint Helena 	 $         42,000,000 	 2002
220 	 Nauru 	 $         31,000,000 	 2002
221 	 Sao Tome and Principe 	 $         30,030,000 	 2003 est.
222 	 Norfolk Island 	 $         17,900,000 	 FY91/92
223 	 Montserrat 	 $         17,000,000 	 2001
224 	 Niue 	 $          2,380,000 	 1999
225 	 Tokelau 	 $           323,000 	 1983
226 	 Wallis and Futuna 	 $           300,000 	 1999

 This file was last updated on 10 February, 2005
