This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - proved reserves(cu m) 	 Date of Information
89 	 Somalia 	      2,832,000,000 	 1 January 2002
90 	 Guatemala 	      1,543,000,000 	 1 January 2002
91 	 Morocco 	       665,400,000 	 1 January 2002
92 	 Benin 	       608,800,000 	 1 January 2002
93 	 Congo, Republic of the 	       495,500,000 	 1 January 2002
94 	 Greece 	       254,900,000 	 1 January 2002
95 	 Spain 	       254,900,000 	 1 January 2002
96 	 Barbados 	        70,790,000 	 1 January 2002
97 	 Madagascar 	               0 	 1 January 2002
98 	 Suriname 	               0 	 1 January 2002

 This file was last updated on 10 February, 2005
